KW	category	node_weight	occurrence
stat3 transcription factor/metabolism	MESH	0.0735294117647058	5
perilipin-5/genetics	MESH	0.0147058823529411	1
interleukin-6/genetics	MESH	0.0147058823529411	1
lipids	MESH	0.0147058823529411	1
hepatocyte growth factor/blood	MESH	0.0147058823529411	1
EGF	GENE	0.0147058823529411	1
PLIN1	GENE	0.0147058823529411	1
LEP	GENE	0.0294117647058823	2
IL6R	GENE	0.0147058823529411	1
JUN	GENE	0.0147058823529411	1
PLIN5	GENE	0.0147058823529411	1
ADIPOQ	GENE	0.0147058823529411	1
HGF	GENE	0.0294117647058823	2
MAPK8	GENE	0.0294117647058823	2
proto-oncogene proteins c-akt/metabolism	MESH	0.0147058823529411	1
leptin/metabolism	MESH	0.0147058823529411	1
procollagen-lysine 2-oxoglutarate 5-dioxygenase/deficiency	MESH	0.0147058823529411	1
janus kinases/metabolism	MESH	0.0147058823529411	1
breast neoplasms/pathology	MESH	0.0147058823529411	1
3t3-l1 cells	MESH	0.0147058823529411	1
cell movement	MESH	0.0147058823529411	1
neoplasm metastasis	MESH	0.0735294117647058	5
PIK3CA	GENE	0.0294117647058823	2
PLOD2	GENE	0.0147058823529411	1
PIK3CD	GENE	0.0294117647058823	2
PIK3CG	GENE	0.0294117647058823	2
AKT1	GENE	0.0294117647058823	2
PIK3CB	GENE	0.0294117647058823	2
non-alcoholic fatty liver disease/genetics	MESH	0.0294117647058823	2
carcinoma hepatocellular/genetics	MESH	0.0294117647058823	2
tumor necrosis factor-alpha/metabolism	MESH	0.0441176470588235	3
caco-2 cells	MESH	0.0147058823529411	1
colonic neoplasms/microbiology	MESH	0.0147058823529411	1
prostatic neoplasms/pathology	MESH	0.0441176470588235	3
APC	GENE	0.0147058823529411	1
IL22	GENE	0.0147058823529411	1
ht29 cells	MESH	0.0147058823529411	1
hep g2 cells	MESH	0.0147058823529411	1
growth differentiation factor 15/genetics	MESH	0.0147058823529411	1
hepatic stellate cells/metabolism	MESH	0.0294117647058823	2
GDF15	GENE	0.0147058823529411	1
ATG7	GENE	0.0147058823529411	1
autophagy-related protein 7/genetics	MESH	0.0147058823529411	1
neovascularization pathologic/genetics	MESH	0.0147058823529411	1
inflammation/genetics	MESH	0.0147058823529411	1
hormones/blood	MESH	0.0147058823529411	1
sexual maturation	MESH	0.0147058823529411	1
breast neoplasms/etiology	MESH	0.0147058823529411	1
NFKB1	GENE	0.088235294117647	6
TNFSF11	GENE	0.0147058823529411	1
cell proliferation	MESH	0.1176470588235294	8
TNF	GENE	0.088235294117647	6
cell differentiation	MESH	0.0441176470588235	3
osteoclasts/cytology	MESH	0.0147058823529411	1
osteogenesis/physiology	MESH	0.0147058823529411	1
cathepsin k/metabolism	MESH	0.0147058823529411	1
bone and bones/pathology	MESH	0.0147058823529411	1
bone marrow cells/metabolism	MESH	0.0147058823529411	1
chemokine cxcl2/metabolism	MESH	0.0147058823529411	1
bone neoplasms/secondary	MESH	0.0147058823529411	1
osteolysis/pathology	MESH	0.0147058823529411	1
CBX8	GENE	0.0147058823529411	1
ACTR1B	GENE	0.0147058823529411	1
BTG2	GENE	0.0147058823529411	1
PCSK1	GENE	0.0147058823529411	1
CXCR2	GENE	0.0147058823529411	1
KRT6A	GENE	0.0147058823529411	1
CXCL1	GENE	0.0147058823529411	1
bone marrow/metabolism	MESH	0.0147058823529411	1
CXCL2	GENE	0.0147058823529411	1
obesity	MESH	0.0147058823529411	1
chemokine cxcl1/metabolism	MESH	0.0147058823529411	1
CCL2	GENE	0.0735294117647058	5
adipocytes/metabolism	MESH	0.0588235294117647	4
carcinoma hepatocellular/metabolism	MESH	0.0147058823529411	1
pore forming cytotoxic proteins/metabolism	MESH	0.0147058823529411	1
phosphate-binding proteins/metabolism	MESH	0.0147058823529411	1
cellular senescence	MESH	0.0147058823529411	1
obesity/complications	MESH	0.0147058823529411	1
interleukin-33/metabolism	MESH	0.0147058823529411	1
SULT2A1	GENE	0.0147058823529411	1
IL1RL1	GENE	0.0147058823529411	1
IL33	GENE	0.0147058823529411	1
SDCBP2	GENE	0.0147058823529411	1
GSDMD	GENE	0.0147058823529411	1
