human_genes	mouse_genes
CHRNA5	Chrna5
POLR3D	Polr3d
UFD1	Ufd1
ATPSCKMT	Atpsckmt
ETFRF1	Etfrf1
CDHR3	Cdhr3
TUSC2	Tusc2
MARCOL	Gm37797
DEFA1	Defa29
DEFA1B	Defa29
DEFA4	Defa29
DEFA5	Defa29
DEFA3	Defa29
DEFA6	Defa29
SPINK9	Spinkl
HYAL2	Hyal2
DEFA1	Defa2
DEFA1B	Defa2
DEFA4	Defa2
DEFA5	Defa2
DEFA3	Defa2
DEFA6	Defa2
DEFA1	Defa33
DEFA1B	Defa33
DEFA4	Defa33
DEFA5	Defa33
DEFA3	Defa33
DEFA6	Defa33
DEFA1	Defa36
DEFA1B	Defa36
DEFA4	Defa36
DEFA5	Defa36
DEFA3	Defa36
DEFA6	Defa36
SPINK9	Spink11
TAS2R1	Tas2r119
PHYHIP	Phyhip
ELMOD3	Elmod3
SPINK9	Gm10542
RNU6-73P	Gm23038
SNORD123	Snord123
CDCA7L	Cdca7l
SEMA5A	Sema5a
MYOT	Myot
BMP1	Bmp1
CHRNA3	Chrna3
MARK2	Mark2
FAM160A1	Fam160a1
FAM217A	Fam217a
C22orf39	2510002D24Rik
CALM1	Calm1
STK19	Stk19
CHRNB4	Chrnb4
DEFA1	Defa42
DEFA1B	Defa42
DEFA4	Defa42
DEFA5	Defa42
DEFA3	Defa42
DEFA6	Defa42
C22orf39	Gm28539
DCP2	Dcp2
HAND2	Hand2
NUDT6	Nudt6
ECI2	Eci3
RFWD3	Rfwd3
PSMG1	Psmg1
HYAL1	Hyal1
FHIT	Fhit
COPS7A	Cops7a
RNU6-1112P	Gm24164
DXO	Dxo
MRPL40	Mrpl40
MCC	Mcc
RNF44	Rnf44
NAA80	Naa80
DEFA1	Defa20
DEFA1B	Defa20
DEFA4	Defa20
DEFA5	Defa20
DEFA3	Defa20
DEFA6	Defa20
NSUN3	Nsun3
DEFA1	Defa32
DEFA1B	Defa32
DEFA4	Defa32
DEFA5	Defa32
DEFA3	Defa32
DEFA6	Defa32
RNU6-974P	Gm24423
DEFA1	Defa37
DEFA1B	Defa37
DEFA4	Defa37
DEFA5	Defa37
DEFA3	Defa37
DEFA6	Defa37
SCRG1	Scrg1
RNU6-917P	U6
HYAL3	Hyal3
DEFA1	Defa28
DEFA1B	Defa28
DEFA4	Defa28
DEFA5	Defa28
DEFA3	Defa28
DEFA6	Defa28
NEGR1	Negr1
SAP30	Sap30
SDC2	Sdc2
ATP23	Atp23
SFTPC	Sftpc
UBE2Q2	Ube2q2
DEFA1	Defa43
DEFA1B	Defa43
DEFA4	Defa43
DEFA5	Defa43
DEFA3	Defa43
DEFA6	Defa43
CPQ	Cpq
TRIP10	Trip10
ARL13B	Arl13b
TRMT1	Trmt1
SNORA73A	Gm22053
YTHDC2	Ythdc2
CTDSP2	Ctdsp2
RNU6-1195P	U6
GIMAP8	Gimap8
GAPDH	Gm3839
RNU6-1119P	U6
RNU6-514P	U6
STX19	Stx19
LGI3	Lgi3
COL5A1	Col5a1
NIN	Nin
SPATA5	Spata5
PROS1	Pros1
MIR26A2	Mir26a-2
HDAC11	Hdac11
REEP4	Reep4
HIRA	Hira
TSPYL5	Tspyl5
CDC6	Cdc6
ADGRB1	Adgrb1
ROBO4	Robo4
ATP6V1G1	Atp6v1g1
SELENOS	Selenos
C3orf14	Gm49355
CA6	Car6
KCNN2	Kcnn2
C3orf14	3830406C13Rik
MIR135A2	Mir135a-2
MIR1251	Mir1251
CEP57L1	Cep57l1
ZFYVE9	Zfyve9
KRAS	Kras
CHSY1	Chsy1
SLC8A2	Slc8a2
SPRY1	Spry1
RNU6-148P	Gm23042
RNU6-387P	Gm23042
RNU6-547P	Gm23042
RNU6-111P	Gm23042
RN7SKP100	7SK
RN7SKP182	7SK
HPX	Hpx
TLCD3A	Tlcd3a
CCM2L	Ccm2l
PIANP	Pianp
TRIM36	Trim36
TMEM268	Tmem268
ARNT	Arnt
OSBPL2	Osbpl2
IGLC7	Iglc1
IGLC2	Iglc1
IGLC1	Iglc1
IGLL5	Iglc1
IGLC3	Iglc1
IGLL1	Iglc1
PLD6	Pld6
IGLC7	Iglc3
IGLC2	Iglc3
IGLC1	Iglc3
IGLL5	Iglc3
IGLC3	Iglc3
IGLL1	Iglc3
FAM172A	Fam172a
GEMIN4	Gemin4
SHANK1	Shank1
IGLC7	Iglc4
IGLC2	Iglc4
IGLC1	Iglc4
IGLL5	Iglc4
IGLC3	Iglc4
IGLL1	Iglc4
PGGT1B	Pggt1b
IGLC7	Iglc2
IGLC2	Iglc2
IGLC1	Iglc2
IGLL5	Iglc2
IGLC3	Iglc2
IGLL1	Iglc2
SKIV2L	Skiv2l
GIMAP4	Gimap4
IGLV4-60	Iglv3
IGLV4-69	Iglv3
TEX48	Tex48
MRM3	Mrm3
ENO1	Eno1
FEZF2	Fezf2
OR2L13	Olfr166
OR2L8	Olfr167
OR2L3	Olfr167
OR2L5	Olfr167
OR2L2	Olfr167
PRPF18	Prpf18
OR2L13	Olfr168
CCDC112	Ccdc112
NXN	Nxn
OR2AJ1	Olfr169
NEK4	Nek4
EPHA3	Epha3
RETSAT	Retsat
FEM1C	Fem1c
BTF3L4	Btf3l4
TMED7-TICAM2	Tmed7
TMED7	Tmed7
ADRM1	Adrm1
EML6	Eml6
AVIL	Avil
POU5F2	Pou5f2
FNBP4	Fnbp4
CDO1	Cdo1
IFRD2	Ifrd2
GDI2	Gdi2
TXNDC12	Txndc12
KTI12	Kti12
TNFSF8	Tnfsf8
ATG12	Atg12
YPEL3	Ypel3
RAB3B	Rab3b
LMNTD1	Lmntd1
AP3S1	Ap3s1
TSC2	Tsc2
FEM1A	Fem1al
RERE	Rere
FLCN	Flcn
DEFA1	Defa26
DEFA1B	Defa26
DEFA4	Defa26
DEFA5	Defa26
DEFA3	Defa26
DEFA6	Defa26
HMGB2	Hmgb2
LVRN	Lvrn
RNU6-346P	Gm22769
GIMAP6	Gimap6
OR2AJ1	Olfr170
DOP1A	Dop1a
CSNKA2IP	Csnka2ip
C19orf81	1700008O03Rik
OR2AJ1	Olfr171
DEFA1	Defa17
DEFA1B	Defa17
DEFA4	Defa17
DEFA5	Defa17
DEFA3	Defa17
DEFA6	Defa17
C3orf38	4930453N24Rik
DEFA1	Defa34
DEFA1B	Defa34
DEFA4	Defa34
DEFA5	Defa34
DEFA3	Defa34
DEFA6	Defa34
FCN1	Fcnb
ZNF654	Zfp654
MLKL	Mlkl
TUBA3D	Tuba3b
TUBA3C	Tuba3b
ARL14EPL	Arl14epl
ARC	Arc
TBX6	Tbx6
TGOLN2	Tgoln1
COMMD10	Commd10
RNU6-242P	U6
CGGBP1	Cggbp1
HR	Hr
JRK	Jrk
SLC45A1	Slc45a1
TIMM22	Timm22
SNORA79	Gm24241
PSCA	Psca
TSFM	Tsfm
HTR1F	Htr1f
THEM6	Them6
SLURP1	Slurp1
GIMAP7	Gimap7
B3GNT5	B3gnt5
LTBP4	Ltbp4
LYPD2	Lypd2
CSRNP3	Csrnp3
RASSF8	Rassf8
RARA	Rara
DEFA1	Defa39
DEFA1B	Defa39
DEFA4	Defa39
DEFA5	Defa39
DEFA3	Defa39
DEFA6	Defa39
MTDH	Mtdh
SESN1	Sesn1
DEFA1	Defa24
DEFA1B	Defa24
DEFA4	Defa24
DEFA5	Defa24
DEFA3	Defa24
DEFA6	Defa24
GIMAP1	Gimap1
ERRFI1	Errfi1
NR2F1	Nr2f1
GIMAP1-GIMAP5	Gimap5
GIMAP5	Gimap5
FA2H	Fa2h
SEMA6A	Sema6a
POU1F1	Pou1f1
BHLHE41	Bhlhe41
RPS6KA3	Rps6ka3
PARK7	Park7
CDHR2	Cdhr2
NUDT18	Nudt18
GIMAP1-GIMAP5	Gimap3
GIMAP5	Gimap3
EEF1AKMT3	Eef1akmt3
Metazoa_SRP	Gm25574
CTSK	Ctsk
SPCS1	Spcs1
METTL1	Mettl1
FBLN2	Fbln2
GJD3	Gjd3
TOP2A	Top2a
DEFB104B	Defb15
DEFB104A	Defb15
DEFB121	Defb15
DEFB127	Defb15
DEFB132	Defb15
DEFB134	Defb15
DEFB108B	Defb15
SH3D19	Sh3d19
BEND7	Bend7
DEFB105A	Defb35
DEFB105B	Defb35
DEFB107B	Defb13
DEFB107A	Defb13
FAM90A19P	Fam90a1a
FAM90A1	Fam90a1a
FAM90A23P	Fam90a1a
FAM90A10P	Fam90a1a
FAM90A22P	Fam90a1a
FAM90A8P	Fam90a1a
FAM90A9P	Fam90a1a
FAM90A7P	Fam90a1a
FAM90A26	Fam90a1a
FAM90A17P	Fam90a1a
FAM90A16P	Fam90a1a
FAM90A14P	Fam90a1a
FAM90A18P	Fam90a1a
CHMP2B	Chmp2b
FAM160B2	Fam160b2
CYP27B1	Cyp27b1
GALNT7	Galnt7
KLHL6	Klhl6
MARCHF9	Marchf9
GPRIN1	Gprin1
ARMC2	Armc2
VGLL3	Vgll3
COPS3	Cops3
KIF2A	Kif2a
RNU6-26P	U6
KLHL24	Klhl24
KTN1	Ktn1
NRDC	Nrd1
GALNT3	Galnt3
LSMEM2	Lsmem2
ARMCX2	Armcx2
FBXO22	Fbxo22
CADM2	Cadm2
CCDC70	Ccdc70
LYNX1	Lynx1
NFIX	Nfix
MAPKBP1	Mapkbp1
IGFBP4	Igfbp4
LY6D	Ly6d
COL28A1	Col28a1
ARPC1B	Arpc1b
SPINDOC	Spindoc
NRG4	Nrg4
EIF1AX	Eif1ax
CFAP54	Cfap54
LAPTM4B	Laptm4b
NT5M	Nt5m
LY6K	Ly6k
RHOD	Rhod
PRSS48	Prss48
GML	Gml
CTSS	Ctss
MECP2	Mecp2
GML	Gml2
BRWD1	Brwd1
C11orf95	2700081O15Rik
SSPN	Sspn
TNS4	Tns4
TTC7B	Ttc7b
ANKRD50	Ankrd50
SYT12	Syt12
ROBO3	Robo3
RNF34	Rnf34
WNT7A	Wnt7a
RPS3A	Rps3a1
C11orf86	2010003K11Rik
UNC13D	Unc13d
PDAP1	Pdap1
ALDH18A1	Aldh18a1
OPN1MW3	Opn1mw
OPN1LW	Opn1mw
OPN1MW	Opn1mw
OPN1MW2	Opn1mw
ATP7B	Atp7b
TCF7L1	Tcf7l1
LY6E	Ly6e
SNORD73A	Snord73a
LAMA5	Lama5
SNORD73B	Snord73b
FOXO3	Foxo3
RNU6-474P	Gm23025
FAT4	Fat4
BUD31	Bud31
ABHD12B	Abhd12b
CDK4	Cdk4
TEX28	Tex28
ENO1	Eno1b
TKTL1	Tktl1
RNU1-139P	Gm23796
LYL1	Lyl1
ZRANB2	Zranb2
MIR761	Mir761
ATXN7L1	Atxn7l1
CIBAR1	Cibar1
RNU1-45P	U1
DTWD2	Dtwd2
OR14C36	Olfr310
GALNTL6	Galntl6
ATP5MF-PTCD1	Ptcd1
PTCD1	Ptcd1
MAP7D2	Map7d2
OR13G1	Olfr309
OR6F1	Olfr308
LRRK1	Lrrk1
TSPAN31	Tspan31
PGM3	Pgm3
CHCHD4	Chchd4
OCIAD1	Ociad1
AFG1L	Afg1l
DMXL1	Dmxl1
JMJD7	Jmjd7
MATN2	Matn2
SNCB	Sncb
DAND5	Dand5
TMEM43	Tmem43
SEPHS1	Sephs1
GADD45GIP1	Gadd45gip1
RNU6-34P	U6
TNC	Tnc
ALG11	Alg11
TASOR2	Tasor2
CDK17	Cdk17
KCMF1	Kcmf1
RNU6-1042P	Gm26164
EFCAB10	Efcab10
RAD23A	Rad23a
DNAH11	Dnah11
HCK	Hck
RWDD2A	Rwdd2a
OR14A2	Olfr307
RTN3	Rtn3
AADAT	Aadat
SYT3	Syt3
TMEM266	Tmem266
NXF2B	Nxf2
NXF2	Nxf2
TNFAIP8	Tnfaip8
ZNF384	Zfp384
SNX3	Snx3
RNU4-22P	Gm24635
ASB13	Asb13
ELK3	Elk3
MSANTD2	Msantd2
CALR	Calr
HSD17B4	Hsd17b4
CALML3	Calml3
CALML5	Calm4
PPP4C	Ppp4c
CALML5	Calm5
NR2E1	Nr2e1
ARRDC3	Arrdc3
ETFA	Etfa
MFAP3L	Mfap3l
MIR186	Mir186
PTGER3	Ptger3
INTU	Intu
AGAP2	Agap2
NEK5	Nek5
OR14A2	Olfr305
ME1	Me1
OR14A2	Olfr304
LRRC4B	Lrrc4b
RNU6-573P	U6
RPS21	Rps21
SLC25A31	Slc25a31
PYGL	Pygl
KIF21A	Kif21a
FAM170A	Fam170a
NDUFAF2	Ndufaf2
OR14C36	Olfr301
OR14C36	Olfr300-ps1
OR14C36	Olfr299
PHYH	Phyh
HORMAD1	Hormad1
OR14A2	Olfr298
CDC7	Cdc7
OR14C36	Olfr297
PUDP	Pudp
PRR16	Prr16
TRIM3	Trim3
NET1	Net1
ISL2	Isl2
CCR7	Ccr7
FTMT	Ftmt
OLFM1	Olfm1
ZMAT1	Zmat1
SRFBP1	Srfbp1
MED9	Med9
RASD1	Rasd1
TCTN3	Tctn3
POLR1F	Polr1f
SMARCE1	Smarce1
WDR59	Wdr59
ESAM	Esam
HMGN1	Hmgn1
LOX	Lox
LTA4H	Lta4h
FERD3L	Ferd3l
ENOX2	Enox2
TWIST1	Twist1
SP4	Sp4
KRT222	Krt222
TNFRSF9	Tnfrsf9
PRSS35	Prss35
VSIG2	Vsig2
XPC	Xpc
SP8	Sp8
TUBAL3	Tubal3
GBE1	Gbe1
WBP2	Wbp2
OSTM1	Ostm1
CTH	Cth
ABCB5	Abcb5
PLA2G4B	Gm28042
JMJD7-PLA2G4B	Gm28042
UCN3	Ucn3
ZNF474	Zfp474
EIF4E1B	Eif4e1b
CABLES2	Cables2
OS9	Os9
NRGN	Nrgn
ITGB8	Itgb8
OR14C36	Olfr296-ps1
SNCAIP	Sncaip
ANKRD13C	Ankrd13c
OR14C36	Olfr295
SCAPER	Scaper
ASPDH	Aspdh
PC	Pcx
PEMT	Pemt
PPP1R26	Ppp1r26
RPS6KA5	Rps6ka5
RBBP8NL	Rbbp8nl
OR14A2	Olfr294
LCA5L	Lca5l
SHKBP1	Shkbp1
TMEM176B	Tmem176b
C9orf116	1700007K13Rik
OCIAD2	Ociad2
SEC63	Sec63
GATA5	Gata5
KRT24	Krt24
UCMA	Ucma
ROBO1	Robo1
KRT25	Krt25
PAPPA	Pappa
GOLPH3L	Golph3l
KRT26	Krt26
TGFBR3	Tgfbr3
KRT27	Krt27
HAL	Hal
MIR1-1	Mir1a-1
MIR133A2	Mir133a-2
MRPS2	Mrps2
KRT28	Krt28
TRIM47	Trim47
OR14C36	Olfr293
HPF1	Hpf1
TM9SF4	Tm9sf4
MEIS3	Meis3
RNU6-29P	Gm23407
SIAE	Siae
ASTN2	Astn2
GET1-SH3BGR	Sh3bgr
SH3BGR	Sh3bgr
CWH43	Cwh43
RNU4ATAC2P	Rnu4atac
RNU4ATAC18P	Rnu4atac
RNU4ATAC16P	Rnu4atac
RNU4ATAC11P	Rnu4atac
DAW1	Daw1
RNU6-738P	Gm25801
MACC1	Macc1
FARSA	Farsa
ERCC8	Ercc8
ENSA	Ensa
SNX2	Snx2
AMDHD1	Amdhd1
LSM3	Lsm3
MCL1	Mcl1
YEATS2	Yeats2
RAI1	Rai1
B4GALNT1	B4galnt1
LRFN4	Lrfn4
ADAMTSL4	Adamtsl4
DGLUCY	Dglucy
ENTPD1	Entpd1
SNX24	Snx24
ING4	Ing4
TOR1AIP1	Tor1aip1
CPSF4	Cpsf4
TTC21B	Ttc21b
NEK3	Nek3
PPIC	Ppic
TRIM32	Trim32
KRT10	Krt10
PRDM6	Prdm6
HSPA4L	Hspa4l
TLR4	Tlr4
NTHL1	Nthl1
CC2D2B	Cc2d2b
BCLAF3	Bclaf3
TRIM65	Trim65
RCE1	Rce1
RNU1-51P	Gm23738
U1	Gm23738
BRINP1	Brinp1
OR14C36	Olfr292
NELFE	Nelfe
CCDC38	Ccdc38
ALDH1A3	Aldh1a3
TCF4	Tcf4
SPA17	Spa17
TMEM176A	Tmem176a
SYCE2	Syce2
KRT12	Krt12
ECI2	Eci2
RNU6-456P	Gm24697
CAMTA1	Camta1
RCN2	Rcn2
KRT20	Krt20
TCEAL6	Tceal6
TCEAL5	Tceal6
TCEAL3	Tceal6
CKAP2	Ckap2
KRT23	Krt23
TBRG1	Tbrg1
DNAH6	Dnah6
CCNJ	Ccnj
MRPL38	Mrpl38
SCML4	Scml4
VPS36	Vps36
TFCP2L1	Tfcp2l1
PLA2G4B	Pla2g4b
JMJD7-PLA2G4B	Pla2g4b
ASB7	Asb7
GPR68	Gpr68
PANX3	Panx3
BRDT	Brdt
ATL3	Atl3
GCDH	Gcdh
SEMA3B	Sema3b
TRIM9	Trim9
FOLH1	Folh1
RNU1-31P	Gm23497
PSEN2	Psen2
ARHGAP36	Arhgap36
KRT39	Krt39
ATP5MF	Atp5j2
GBGT1	Gbgt1
ECM1	Ecm1
SPTBN1	Sptbn1
KLF1	Klf1
PLAGL2	Plagl2
THSD1	Thsd1
SPTBN5	Sptbn5
EPHX4	Ephx4
SOBP	Sobp
ZNRF1	Znrf1
SLCO4A1	Slco4a1
NTN4	Ntn4
SLC9A3R2	Slc9a3r2
RPL30	Rpl30
ALDOA	Aldoa
ACRBP	Acrbp
ZNF394	Zkscan14
ZNF518A	Zfp518a
ZKSCAN5	Zkscan5
USP44	Usp44
B3GALT5	B3galt5
C11orf80	Gm960
FOXP3	Foxp3
PDSS2	Pdss2
UTS2	Uts2
EHD4	Ehd4
ERICH5	Erich5
CDK5RAP2	Cdk5rap2
SPHKAP	Sphkap
RNU1-17P	Gm25699
SLC6A6	Slc6a6
PLAAT3	Plaat3
MAP6D1	Map6d1
RIDA	Rida
DCUN1D4	Dcun1d4
NPW	Npw
POFUT1	Pofut1
ABCD2	Abcd2
ZNF598	Zfp598
BLNK	Blnk
SRSF11	Srsf11
C12orf40	CN725425
BEND3	Bend3
DNASE2	Dnase2a
ITPKB	Itpkb
NTSR1	Ntsr1
PAM16	Gm9803
SNORA73	Gm24533
MTRES1	Mtres1
AOC1	Aoc1
MCM10	Mcm10
STUM	Stum
CD24	Cd24a
PARL	Parl
RBM4	Gm21992
RBM14-RBM4	Gm21992
LDHD	Ldhd
SYNGR3	Syngr3
DHX34	Dhx34
LGALS12	Lgals12
PID1	Pid1
GFER	Gfer
QRSL1	Qrsl1
SLC2A13	Slc2a13
LPAR5	Lpar5
TOR1AIP2	Tor1aip2
AOC1	Doxl1
NOXO1	Noxo1
PER3	Per3
ELOVL7	Elovl7
ZFP1	Zfp1
BTBD8	Btbd8
POP1	Pop1
AOC1	Doxl2
ARHGEF25	Arhgef25
CTRB1	Ctrb1
CTRB2	Ctrb1
AOC1	Svs1
BCAR1	Bcar1
SUCLG1	Suclg1
DNTT	Dntt
KIF3B	Kif3b
TBL3	Tbl3
ITGB2	Itgb2l
FAM163A	Fam163a
TMX1	Tmx1
ARFIP2	Arfip2
BTBD8	Gm42669
GLI2	Gli2
MAST1	Mast1
LRRC66	Lrrc66
MRGBP	Mrgbp
MEGF9	Megf9
ZNF655	Zfp655
RNU6-102P	Gm47290
HDAC9	Hdac9
VAMP3	Vamp3
JKAMP	4931417E11Rik
ASXL1	Asxl1
KRT40	Krt40
OR8A1	Olfr160
ZSCAN25	Zscan25
OR8A1	Olfr151
TSPAN17	Tspan17
NIPAL2	Nipal2
PSTPIP1	Pstpip1
OPALIN	Opalin
SGCB	Sgcb
RNU1-115P	Gm22283
KRTAP3-1	Krtap3-1
PLAAT5	Plaat5
KRTAP1-4	Krtap1-5
KRTAP1-3	Krtap1-5
KRTAP1-1	Krtap1-5
KRTAP1-5	Krtap1-5
RNF26	Gm9008
VAV1	Vav1
KRTAP10-4	Krtap1-4
KRTAP10-11	Krtap1-4
EPB41	Epb41
KRTAP10-4	Krtap1-3
KRTAP10-11	Krtap1-3
C2orf73	4930505A04Rik
GPNMB	Gpnmb
OGFR	Ogfr
CYP3A5	Cyp3a57
CYP3A7-CYP3A51P	Cyp3a57
CYP3A4	Cyp3a57
CYP3A7	Cyp3a57
CYP3A43	Cyp3a57
INHBB	Inhbb
KCNS2	Kcns2
KRTAP10-4	Krtap9-3
KRTAP10-11	Krtap9-3
DNER	Dner
ACYP2	Acyp2
OR8B12	Olfr874
OPTN	Optn
OR8B12	Olfr875
CFDP1	Cfdp1
LRBA	Lrba
OR8B12	Olfr876
C1orf146	1700028K03Rik
KRTAP4-3	Krtap4-1
ABCC5	Abcc5
SLC22A9	Slc22a19
KRTAP4-3	Krtap4-2
C5AR2	C5ar2
GNAI2	Gnai2
TPTE2	Tpte
TPTE	Tpte
JOSD2	Josd2
ABR	Abr
TLL2	Tll2
NCOA2	Ncoa2
PLA2G4E	Pla2g4e
CCDC22	Ccdc22
OR8B8	Olfr145
LY6L	Ly6l
ITPR2	Itpr2
TSPAN3	Tspan3
RTN4IP1	Rtn4ip1
STK3	Stk3
CYP3A5	Cyp3a16
CYP3A7-CYP3A51P	Cyp3a16
CYP3A4	Cyp3a16
CYP3A7	Cyp3a16
CYP3A43	Cyp3a16
DTX3	Dtx3
DEPDC1B	Depdc1b
OR8B4	Olfr878
SLC22A9	Slc22a26
NXF2B	Nxf7
NXF2	Nxf7
NSD2	Nsd2
PEAK1	Peak1
PIP4K2C	Pip4k2c
DSCAM	Dscam
CCDC3	Ccdc3
TM9SF3	Tm9sf3
CRYBG1	Crybg1
RNU2-11P	Gm23118
PLA2G4D	Pla2g4d
TMEM231	Tmem231
OSR2	Osr2
CDYL	Cdyl
SLC25A15	Slc25a15
SNAP91	Snap91
C5AR1	C5ar1
SLC22A9	Slc22a27
LY6H	Ly6h
INAFM1	Inafm1
METAP2	Metap2
TLCD3B	Tlcd3b
GABARAPL2	Gabarapl2
NOL4L	Nol4l
SLC22A9	Slc22a28
RTBDN	Rtbdn
RPP40	Rpp40
EIF2B5	Eif2b5
PIK3AP1	Pik3ap1
GPIHBP1	Gpihbp1
MRPS31	Mrps31
SMIM19	Smim19
CAMK1D	Camk1d
ZFP41	Zfp41
ROBO2	Robo2
IGSF1	Igsf1
ADAT1	Adat1
SLC22A9	Slc22a29
RALB	Ralb
C16orf92	4930451I11Rik
PRPS1L1	Prps1l1
FRMD6	Frmd6
EMC10	Emc10
VPS13B	Vps13b
PPP1R3G	Ppp1r3g
LYRM4	Lyrm4
TMEM185B	Tmem185b
UNC5A	Unc5a
RNU6-83P	Gm25322
LCOR	Lcor
TDRD5	Tdrd5
CCDC88C	Ccdc88c
PLA2G4F	Pla2g4f
SLC20A2	Slc20a2
SLC22A9	Slc22a30
LINS1	Lins1
KRTAP4-12	Krtap4-7
KRTAP4-7	Krtap4-7
KRTAP4-6	Krtap4-7
KRTAP4-12	Gm11555
KRTAP4-7	Gm11555
KRTAP4-6	Gm11555
CLCN3	Clcn3
KRTAP4-3	Gm11563
BHLHA9	Bhlha9
TOP1MT	Top1mt
COMMD7	Commd7
KRTAP4-3	Krtap4-6
TRARG1	Trarg1
SNORA73	SNORA73
NPHS2	Nphs2
ATG5	Atg5
GOSR1	Gosr1
KIF5A	Kif5a
SLC22A8	Slc22a8
AGBL2	Agbl2
COX6C	Cox6c
KRTAP4-3	Gm11595
KRTAP4-3	Krtap4-8
KRTAP4-3	Krtap4-9
PARP1	Parp1
KRTAP4-3	Gm11596
KRTAP4-3	Gm11569
KRTAP4-3	Gm11554
SREBF1	Srebf1
ADGRV1	Adgrv1
RGS22	Rgs22
SLC22A6	Slc22a6
TCP11X2	Tcp11x2
TCP11X1	Tcp11x2
CHRM1	Chrm1
GRIP2	Grip2
TIMM10B	Gm45799
SLC3A2	Slc3a2
FBXO43	Fbxo43
ACTR10	Actr10
RNU1-22P	Gm22979
RHPN1	Rhpn1
RNU6-797P	Gm25039
RNU6-1287P	Gm25039
RNU6-697P	Gm25039
RNU6-1123P	Gm25039
RNU6-272P	Gm25039
MAB21L2	Mab21l2
PLK4	Plk4
PRDM1	Prdm1
RN7SKP87	7SK
ARMCX5	Armcx5
DOC2A	Doc2a
GPRASP1	Gprasp1
BACE2	Bace2
RIPPLY2	Ripply2
SNX13	Snx13
RNF151	Rnf151
RPS2	Rps2
RNU6-649P	Gm22087
LIPI	Lipi
HMG20A	Hmg20a
SLIT1	Slit1
RNU6-813P	Gm22503
FAM71E1	Fam71e1
DCTN2	Dctn2
TRAM1	Tram1
DVL3	Dvl3
MALSU1	Malsu1
POLR2K	Polr2k
ARMCX5-GPRASP2	Bhlhb9
BHLHB9	Bhlhb9
SNORA64	Snora64
NDUFB10	Ndufb10
CYP3A5	Cyp3a41b
CYP3A7-CYP3A51P	Cyp3a41b
CYP3A4	Cyp3a41b
CYP3A7	Cyp3a41b
CYP3A43	Cyp3a41b
CERS3	Cers3
MAFA	Mafa
ZC3H3	Zc3h3
NDUFA4	Ndufa4
CFB	Cfb
PREP	Prep
SPATA18	Spata18
DNHD1	Dnhd1
LACTB2	Lactb2
IGF2BP3	Igf2bp3
SPAG1	Spag1
RBM11	Rbm11
STK26	Stk26
PSMA3	Psma3
KRTAP4-3	Krtap4-13
KRTAP4-3	Gm11564
XKR9	Xkr9
KRTAP4-2	Krtap4-16
KRTAP4-1	Krtap4-16
CCDC9	Ccdc9
HSPA13	Hspa13
RN7SKP225	7SK
CPD	Cpd
AXDND1	Axdnd1
CCDC174	Ccdc174
POPDC3	Popdc3
CYB5R4	Cyb5r4
FRMD7	Frmd7
BVES	Bves
MBD6	Mbd6
MX1	Mx1
KDM2B	Kdm2b
LRRC40	Lrrc40
RAP2C	Rap2c
RPL35	Gm2000
MBNL3	Mbnl3
SOAT1	Soat1
RNF19A	Rnf19a
INTS13	Ints13
KRTAP9-1	Krtap9-5
KRTAP29-1	Krtap29-1
VDAC3	Vdac3
KRTAP16-1	Krtap16-1
TMIGD1	Tmigd1
BBC3	Bbc3
AHR	Ahr
OR8B3	Olfr147
OR8B2	Olfr147
RRP8	Rrp8
MRAP2	Mrap2
DKK4	Dkk4
ANKRD46	Ankrd46
RNASEH2A	Rnaseh2a
TRA2A	Tra2a
FBF1	Fbf1
LIN28B	Lin28b
FLNA	Flna
MFSD8	Mfsd8
SLC38A3	Slc38a3
CNTN1	Cntn1
SAMSN1	Samsn1
MYBPC2	Mybpc2
DDIT3	Ddit3
C3orf20	4930590J08Rik
VEZT	Vezt
LIN9	Lin9
PPP4R3A	Ppp4r3a
FARS2	Fars2
CCDC126	Ccdc126
AP2M1	Ap2m1
FAM221A	Fam221a
SNORD25	Gm25855
SNORD26	Gm25894
SNORD27	Gm24452
SNORD28B	Gm24453
SNORA108	Gm24453
SNORD28	Gm24453
SNORD29	Gm22744
SNORD30	Gm22680
SNORD31B	Gm23246
SNORD22	Snord22
WDR74	Wdr74
ADGRE1	Adgre1
THSD8	Gm49661
KARS1	Kars
SPTBN4	Sptbn4
CTNNA2	Ctnna2
LYSMD3	Lysmd3
OPRD1	Oprd1
CDC123	Cdc123
ARHGAP19-SLIT1	Arhgap19
ARHGAP19	Arhgap19
YTHDF2	Ythdf2
RPL3L	Rpl3l
DNAJC11	Dnajc11
TERF2IP	Terf2ip
PDZRN4	Pdzrn4
AGR3	Agr3
RNU6-832P	Gm22827
RNU6-1108P	Gm22827
RNU6-1332P	Gm22827
LINGO1	Lingo1
NRN1	Nrn1
POLB	Polb
TCFL5	Tcfl5
FAM3B	Fam3b
AGR2	Agr2
SNX31	Snx31
NUDT5	Nudt5
CFB	Gm20547
PSME4	Psme4
CEP162	Cep162
MIXL1	Mixl1
PRDX2	Prdx2
MBLAC2	Mblac2
ACBD3	Acbd3
AKR1E2	Akr1e1
NRIP1	Nrip1
RNU6-47P	U6
TSPAN13	Tspan13
MSRB1	Msrb1
ABL2	Abl2
MIR331	Mir331
FGD6	Fgd6
ARID4A	Arid4a
HS3ST6	Hs3st6
