"KW"	"category"	"node_weight"	"occurrence"	"btw_cnt"	"cls_cnt"	"strength"	"qscore"	"Knode"	"ranking"	"CommunityMembership"
"buthionine sulfoximine/pharmacology"	"MESH"	0.0057142857142857	1	0	0.673528807627099	4.69851187640561	0.373238739248529	155.613156377723	134	7
"calcium/metabolism"	"MESH"	0.0114285714285714	2	22	0.70170605763672	7.04776781460841	0.625254640108647	167.244346756876	72	8
"calreticulin/metabolism"	"MESH"	0.0057142857142857	1	0	0.668380622614701	2.3492559382028	0.0983123019465822	141.760662887005	221	7
"carbolines/administration & dosage"	"MESH"	0.0114285714285714	2	2	0.750748907110488	4.63051596984521	0.336460926889995	104.126503115715	534	5
"carbolines/pharmacology"	"MESH"	0.0084745762711864	1	0	0.573890631065797	4.63848421942697	0.348878168854685	104.267638875918	529	13
"carbon monoxide/administration & dosage"	"MESH"	0.0084745762711864	1	0	0.608359810270717	1.42722591366984	0.0330607741059303	89.5964111298428	684	3
"carbon/pharmacology"	"MESH"	0.0057142857142857	1	0	0.782628278978914	3.0976050729874	0.160953768673608	126.522498392614	342	12
"carbonic anhydrase ix/metabolism"	"MESH"	0.0084745762711864	1	0	0.720722678366303	0.713612956834918	0.00522012222725215	100.646782350169	583	-1
"carcinogenesis/drug effects"	"MESH"	0.0228571428571428	4	384.333333333333	0.765832195032915	11.8614093731227	0.796546089859665	122.572406601727	391	6
"carcinoma ehrlich tumor/metabolism"	"MESH"	0.0114285714285714	2	32.5	0.889360915245559	3.25190028106263	0.236084979062924	112.634839897381	448	12
"carcinoma hepatocellular/diagnosis"	"MESH"	0.0057142857142857	1	0	0.756564106905964	3.0976050729874	0.160953768673608	105.482212255835	503	2
"carcinoma hepatocellular/diagnostic imaging"	"MESH"	0.0084745762711864	1	0	0.721633730999759	1.78403239208729	0.0722116908103214	98.4976888906659	613	2
"carcinoma hepatocellular/drug therapy"	"MESH"	0.0342857142857142	6	1484.5	1.13078956749464	14.7950823828582	0.863710955183341	77.7036054335305	705	2
"carcinoma hepatocellular/metabolism"	"MESH"	0.0084745762711864	1	0	0.520211248867552	3.56806478417459	0.237515561339973	55.5376696434085	751	11
"carcinoma non-small-cell lung/drug therapy"	"MESH"	0.0057142857142857	1	0	0.767752072892568	5.05531835482307	0.382808963331824	125.307721041853	348	10
"carcinoma pancreatic ductal/drug therapy"	"MESH"	0.0057142857142857	1	0	0.751843576347439	4.55956716460691	0.301027048438207	157.420806967503	125	12
"carcinoma renal cell/chemically induced"	"MESH"	0.0057142857142857	1	0	0.786933041456137	7.01303163665874	0.527232344952467	145.500090107738	190	5
"carcinoma renal cell/drug therapy"	"MESH"	0.0114285714285714	2	55.6666666666667	0.754294279556138	5.48159718913988	0.509138750565867	104.877205261921	507	5
"carcinoma squamous cell/drug therapy"	"MESH"	0.0084745762711864	1	0	0.629973385905036	2.49764534892221	0.117452750113173	113.45159662526	432	5
"caspase 3/metabolism"	"MESH"	0.0057142857142857	1	0	0.697320787789878	6.26468250187414	0.457630715255772	174.343237695303	35	9
"catalase"	"MESH"	0.0084745762711864	1	0	0.718655147359763	3.92487126259205	0.269706315074694	96.8174883687567	638	14
"cation transport proteins"	"MESH"	0.0084745762711864	1	0	0.749156782290496	2.49764534892221	0.117452750113173	124.271522072464	371	1
"cation transport proteins/biosynthesis"	"MESH"	0.0057142857142857	1	9.21428571428572	0.685308801844864	6.65622515824128	0.585573223177909	174.043324987898	51	1
"cation transport proteins/genetics"	"MESH"	0.0057142857142857	1	122.1	0.799163474521004	4.62903952050626	0.385900011317338	145.367556672225	206	1
"cationic amino acid transporter 1/genetics"	"MESH"	0.0057142857142857	1	0	0.786933041456137	7.01303163665874	0.527232344952467	145.500090107738	189	5
"cd4-positive t-lymphocytes"	"MESH"	0.0057142857142857	1	0	0.742937083281281	2.74079859456994	0.140943300135808	102.452907665244	564	2
"cd47 antigen/metabolism"	"MESH"	0.0084745762711864	1	0	0.520211248867552	3.56806478417459	0.237515561339973	55.5376696434085	750	11
"cd8-positive t-lymphocytes"	"MESH"	0.0057142857142857	1	0	0.742937083281281	2.74079859456994	0.140943300135808	102.452907665244	563	2
"cd8-positive t-lymphocytes/drug effects"	"MESH"	0.0057142857142857	1	0	0.7479571113512	2.3492559382028	0.0983123019465822	120.037431616266	407	2
"cd8-positive t-lymphocytes/metabolism"	"MESH"	0.0084745762711864	1	0	0.725391882200146	3.21125830575713	0.197494624264373	100.595160887075	589	2
"cell adhesion"	"MESH"	0.0057142857142857	1	0	0.746827311718792	6.26468250187414	0.457630715255772	104.340994826442	514	3
"cell cycle checkpoints/drug effects"	"MESH"	0.0084745762711864	1	0	0.712634679306143	3.56806478417459	0.237515561339973	134.544758587604	286	12
"cell cycle/drug effects"	"MESH"	0.0114285714285714	2	57	0.865653713233536	6.55349307373121	0.556926210955183	145.102641570321	208	6
"cell death/drug effects"	"MESH"	0.0057142857142857	1	0	0.699839116436945	6.65622515824128	0.507221876414667	165.234840817732	83	6
"cell differentiation"	"MESH"	0.0114285714285714	2	236.666666666667	0.862993911620563	5.70241185443655	0.55383516296967	141.018611627797	241	6
"cell differentiation/drug effects"	"MESH"	0.0514285714285714	9	15235.6333333333	1.08286032013011	15.9653748904047	0.931933284291535	124.622409209204	362	7
"cell line"	"MESH"	0.0457142857142857	8	5994.16666666666	0.855499854792101	18.9317804404021	0.925563744907198	187.901658237031	8	8
"cell line transformed"	"MESH"	0.0057142857142857	1	0	0.6539067648091	6.65622515824128	0.507221876414667	141.449121444155	231	4
"cell line tumor/drug effects"	"MESH"	0.0057142857142857	1	1	0.756945238961014	2.74079859456994	0.148677993435944	114.224207276957	427	12
"cell line tumor/transplantation"	"MESH"	0.0084745762711864	1	0	0.724389427975016	4.63848421942697	0.348878168854685	111.691534069162	457	13
"cell membrane"	"MESH"	0.0084745762711864	1	0	0.721697439909905	1.42722591366984	0.0330607741059303	97.887954356982	626	3
"cell membrane permeability"	"MESH"	0.0057142857142857	1	0	0.746827311718792	6.26468250187414	0.457630715255772	104.340994826442	517	3
"cell membrane/drug effects"	"MESH"	0.0228571428571428	4	2475	0.987930496435501	11.7919370172234	0.850462596197374	91.190958172919	671	3
"cell membrane/metabolism"	"MESH"	0.0171428571428571	3	407.75	1.17596129317486	7.09001541356392	0.710281448053418	74.9001926820992	709	3
"cell movement"	"MESH"	0.0114285714285714	2	124	0.982959763126146	11.2187452215261	0.742779891919421	93.948925011367	665	3
"cell movement/drug effects"	"MESH"	0.0169491525423728	2	1	0.923371689550936	6.27871648125865	0.479911724762336	126.139113636802	343	12
"cell movement/genetics"	"MESH"	0.0084745762711864	1	0	0.739504709682443	4.63848421942697	0.348878168854685	113.303484983737	434	4
"cell movement/physiology"	"MESH"	0.0084745762711864	1	0	0.602130529026245	4.28167774100951	0.287976742870077	147.826308259824	178	4
"cell nucleus/metabolism"	"MESH"	0.0057142857142857	1	0	0.760991477236866	5.09005453277274	0.413259676324129	124.685377278354	361	3
"cell proliferation"	"MESH"	0.0114285714285714	2	25	0.750903765502232	8.22239578370982	0.654030740719783	157.748507749279	123	10
"cell proliferation/drug effects"	"MESH"	0.04	7	13672.9	1.05469389183543	19.8852929179645	0.951399105930285	133.039794852642	305	12
"cell proliferation/genetics"	"MESH"	0.0169491525423728	2	139.5	0.792016130266848	8.17059897103766	0.702806699864192	135.124666133765	280	4
"cell shape"	"MESH"	0.0057142857142857	1	0	0.760991477236866	5.09005453277274	0.413259676324129	124.685377278354	358	3
"cell size/drug effects"	"MESH"	0.0057142857142857	1	0	0.746827311718792	6.26468250187414	0.457630715255772	104.340994826442	521	3
"cell survival/drug effects"	"MESH"	0.0571428571428571	10	15732.1666666667	1.08352015058218	22.4972816391421	0.963096635921231	124.080435586568	379	6
"cell-matrix junctions/drug effects"	"MESH"	0.0057142857142857	1	0	0.6539067648091	6.65622515824128	0.507221876414667	141.449121444155	228	4
"cells cultured"	"MESH"	0.0342857142857142	6	5824.16666666667	0.842033023840526	24.1267590002112	0.943264769126302	150.664546793828	160	9
"cellular senescence/genetics"	"MESH"	0.0057142857142857	1	0	0.770368988429317	4.69851187640561	0.373238739248529	131.870871140223	307	9
"cerebral cortex/drug effects"	"MESH"	0.0084745762711864	1	0	0.476440292230483	3.21125830575713	0.197494624264373	63.0035635641379	727	1
"cerebral hemorrhage"	"MESH"	0.0084745762711864	1	0	0.722503877701801	1.78403239208729	0.0722116908103214	96.1580743620022	647	2
"cerebrovascular disorders/drug therapy"	"MESH"	0.0084745762711864	1	0	0.654314093693016	1.78403239208729	0.0722116908103214	133.422800487011	303	3
"ceruloplasmin/metabolism"	"MESH"	0.0084745762711864	1	0	0.723970643122318	3.21125830575713	0.197494624264373	138.051418900072	257	9
"cetuximab/administration & dosage"	"MESH"	0.0057142857142857	1	0	0.750971486989379	6.65622515824128	0.507221876414667	158.895967003832	117	10
"chelating agents/pharmacology"	"MESH"	0.0057142857142857	1	0	0.650401006176201	6.65622515824128	0.507221876414667	178.617104836407	25	8
"chemical and drug induced liver injury/etiology"	"MESH"	0.0084745762711864	1	0	0.727704053384338	2.49764534892221	0.117452750113173	95.6650535178077	658	11
"chlorides/chemistry"	"MESH"	0.0084745762711864	1	0	0.701770797975303	2.85445182733967	0.152253564961521	120.076210272777	405	14
"chlorophyll"	"MESH"	0.0084745762711864	1	0	0.725391882200146	3.21125830575713	0.197494624264373	100.595160887075	585	2
"chlorophyllides"	"MESH"	0.0171428571428571	3	2731.15	0.990766971843552	7.80999099633058	0.778958239022182	85.5887308523546	692	14
"chlorophyllides/administration & dosage"	"MESH"	0.0057142857142857	1	0	0.744162125801359	2.3492559382028	0.0983123019465822	101.53868898087	574	5
"chlorophyllides/chemistry"	"MESH"	0.0057142857142857	1	0.285714285714286	0.6736007123071	3.91542656367134	0.264535706201901	148.579698595566	170	14
"chlorophyllides/metabolism"	"MESH"	0.0057142857142857	1	1	0.756945238961014	2.74079859456994	0.148677993435944	114.224207276957	428	12
"chlorophyllides/pharmacology"	"MESH"	0.0057142857142857	1	0	0.744753686774032	2.74079859456994	0.140943300135808	97.6958900539012	630	2
"cisplatin/administration & dosage"	"MESH"	0.0057142857142857	1	0	0.767752072892568	5.05531835482307	0.382808963331824	125.307721041853	351	10
"cisplatin/pharmacology"	"MESH"	0.0342857142857142	6	13969.0833333333	1.02066776392595	17.1777540520053	0.937144564848348	149.174252736371	169	12
"coenzyme a ligases/genetics"	"MESH"	0.0057142857142857	1	0	0.745963681708824	2.74079859456994	0.140943300135808	103.932532208993	548	2
"colitis/drug therapy"	"MESH"	0.0084745762711864	1	0	0.721165132638182	0.713612956834918	0.00522012222725215	99.1213623177972	601	2
"collagen/metabolism"	"MESH"	0.0057142857142857	1	0	0.746827311718792	6.26468250187414	0.457630715255772	104.340994826442	519	3
"colorectal neoplasms/drug therapy"	"MESH"	0.0228571428571428	4	248.65	1.06283028973878	14.4294440364295	0.798638029085559	89.5847501963714	685	10
"coordination complexes/pharmacology"	"MESH"	0.0084745762711864	1	0	0.72127351871926	1.42722591366984	0.0330607741059303	99.5282237124004	594	2
"covid-19"	"MESH"	0.0084745762711864	1	0	0.739165880852649	1.78403239208729	0.0722116908103214	117.224573078884	414	4
"covid-19/metabolism"	"MESH"	0.0084745762711864	1	0	0.723970643122318	3.21125830575713	0.197494624264373	138.051418900072	253	9
"covid-19/therapy"	"MESH"	0.0084745762711864	1	0	1.55474202777969	0.713612956834918	1	0	3	16
"crispr-cas systems"	"MESH"	0.0057142857142857	1	0	0.756564106905964	3.0976050729874	0.160953768673608	105.482212255835	505	2
"curcumin/pharmacology"	"MESH"	0.0084745762711864	1	0	0.722503877701801	1.78403239208729	0.0722116908103214	96.1580743620022	649	2
"cyclin-dependent kinase inhibitor p15/genetics"	"MESH"	0.0057142857142857	1	0	0.786933041456137	7.01303163665874	0.527232344952467	145.500090107738	197	5
"cyclin-dependent kinase inhibitor p16/genetics"	"MESH"	0.0057142857142857	1	0	0.786933041456137	7.01303163665874	0.527232344952467	145.500090107738	194	5
"cyclin-dependent kinase inhibitor p21/antagonists & inhibitors"	"MESH"	0.0084745762711864	1	0	0.72138150470805	3.21125830575713	0.197494624264373	101.306766372484	576	12
"cyclohexylamines/administration & dosage"	"MESH"	0.0084745762711864	1	0	0.587512622328003	4.63848421942697	0.348878168854685	133.855458387344	295	11
"cyclohexylamines/pharmacology"	"MESH"	0.0169491525423728	2	126.5	0.579636292045036	6.0297601005329	0.544440003961068	126.772332023858	337	1
"cyclooxygenase 2"	"MESH"	0.0084745762711864	1	0	0.749156782290496	2.49764534892221	0.117452750113173	124.271522072464	372	1
"cyclooxygenase 2/biosynthesis"	"MESH"	0.0057142857142857	1	9.21428571428572	0.685308801844864	6.65622515824128	0.585573223177909	174.043324987898	49	1
"cysteine/antagonists & inhibitors"	"MESH"	0.0084745762711864	1	0	0.670139621331554	4.28167774100951	0.287976742870077	159.480620951951	103	4
"cystine/antagonists & inhibitors"	"MESH"	0.0057142857142857	1	0	0.752126225029941	5.09005453277274	0.413259676324129	109.3699191573	491	5
"cystine/metabolism"	"MESH"	0.0057142857142857	1	0	0.749076902129622	3.52388390730421	0.212284970574921	101.624166061312	571	5
"cytochalasin d/pharmacology"	"MESH"	0.0057142857142857	1	0	0.760991477236866	5.09005453277274	0.413259676324129	124.685377278354	356	3
"cytoskeleton/metabolism"	"MESH"	0.0057142857142857	1	0	0.760991477236866	5.09005453277274	0.413259676324129	124.685377278354	359	3
"cytosol/metabolism"	"MESH"	0.0057142857142857	1	2.93333333333333	0.717855872389443	4.62903952050626	0.338055964237211	176.479663848614	27	6
"cytostatic agents/chemistry"	"MESH"	0.0057142857142857	1	0	0.683776195235423	3.52388390730421	0.212284970574921	147.01600849408	186	6
"deferoxamine"	"MESH"	0.0084745762711864	1	0	0.721794082285898	1.42722591366984	0.0330607741059303	97.9281684232704	621	2
"deferoxamine/pharmacology"	"MESH"	0.0114285714285714	2	161.666666666667	0.81165726160979	9.54688961286958	0.735098248641919	160.726848262909	98	8
"deoxycytidine/analogs & derivatives"	"MESH"	0.0057142857142857	1	2.93333333333333	0.717855872389443	4.62903952050626	0.338055964237211	176.479663848614	28	6
"depression chemical"	"MESH"	0.0084745762711864	1	0	0.720873298655609	3.21125830575713	0.197494624264373	106.821691748567	498	2
"digestive system diseases/drug therapy"	"MESH"	0.0084745762711864	1	0	0.6443649779841	1.78403239208729	0.0722116908103214	135.909831941027	274	1
"dinitrophenols/pharmacology"	"MESH"	0.0171428571428571	3	0	1.03326303783042	4.06791766814275	0.271446355817112	89.9440224414913	680	-1
"diosgenin/analogs & derivatives"	"MESH"	0.0057142857142857	1	122.1	0.799163474521004	4.62903952050626	0.388067988909009	145.369788074693	203	1
"disease progression"	"MESH"	0.0285714285714285	5	3666.65	0.865980630727743	19.8783409878124	0.91376188320507	166.586092772726	74	6
"disease/etiology"	"MESH"	0.0084745762711864	1	0	0.497692018978912	0.713612956834918	0.00522012222725215	62.0968814055962	739	4
"diterpenes/pharmacology"	"MESH"	0.0084745762711864	1	3.66666666666667	0.690763997339498	3.56806478417459	0.263101587256677	110.401354266549	470	10
"dna"	"MESH"	0.0057142857142857	1	0	0.742154069546321	2.3492559382028	0.0983123019465822	99.1174867784919	604	2
"dna catalytic"	"MESH"	0.0084745762711864	1	0	0.718655147359763	3.92487126259205	0.269706315074694	96.8174883687567	641	14
"dna damage"	"MESH"	0.0114285714285714	2	161.666666666667	0.763218679965363	7.26562958122717	0.687422193300136	174.802949059024	33	12
"dna primers/genetics"	"MESH"	0.0057142857142857	1	0	0.650401006176201	6.65622515824128	0.507221876414667	178.617104836407	20	8
"docetaxel/pharmacology"	"MESH"	0.0057142857142857	1	3.66666666666667	0.726266418219172	2.70606241662026	0.133222753508375	137.151728388254	260	6
"dose-response relationship drug"	"MESH"	0.0084745762711864	1	0	0.770010052304879	3.56806478417459	0.237515561339973	124.309921820487	367	9
"doxorubicin"	"MESH"	0.0114285714285714	2	6	0.749130887644448	4.20276068618945	0.30594655387053	103.182667514332	556	2
"doxorubicin/administration & dosage"	"MESH"	0.0171428571428571	3	296.5	0.812814421770361	8.0501913433004	0.724302569035763	120.680885787823	404	3
"doxorubicin/chemistry"	"MESH"	0.0057142857142857	1	0	0.769431910282668	2.3492559382028	0.0983123019465822	122.280550690587	393	3
"doxorubicin/pharmacology"	"MESH"	0.0084745762711864	1	0	0.720722682538216	1.07041943525238	0.00870020371208692	100.673564627053	580	-1
"doxorubicin/therapeutic use"	"MESH"	0.0084745762711864	1	0	0.720722682538216	1.07041943525238	0.00870020371208692	100.673564627053	581	-1
"drug resistance neoplasm"	"MESH"	0.0514285714285714	9	8126.96666666667	1.02314651366147	16.7120245150773	0.925627404934359	150.139297044728	168	6
"drug resistance neoplasm/drug effects"	"MESH"	0.0457142857142857	8	6814.83333333333	0.85428547897557	20.2416392664726	0.94225858703033	156.895189052054	126	13
"drug synergism"	"MESH"	0.188571428571429	33	18936.5	1.16065972526455	22.4414509748695	0.967031179266637	80.7432677287318	702	12
"drug tolerance/physiology"	"MESH"	0.0057142857142857	1	9.21428571428572	0.685308801844864	6.65622515824128	0.585573223177909	174.043324987898	46	1
"dynamins/metabolism"	"MESH"	0.0057142857142857	1	0	0.6539067648091	6.65622515824128	0.507221876414667	141.449121444155	235	4
"edaravone/pharmacology"	"MESH"	0.0084745762711864	1	0	0.512063830197586	1.42722591366984	0.0330607741059303	60.8085154835797	740	6
"egtazic acid/analogs & derivatives"	"MESH"	0.0057142857142857	1	0	0.650401006176201	6.65622515824128	0.507221876414667	178.617104836407	21	8
"embryonal carcinoma stem cells/drug effects"	"MESH"	0.0114285714285714	2	364.766666666667	0.839829741113959	8.8694892833233	0.749405839746492	152.924055139738	149	7
"endocytosis/drug effects"	"MESH"	0.0084745762711864	1	0	0.565839040186531	3.21125830575713	0.197494624264373	114.283986458641	426	4
"endometriosis/genetics"	"MESH"	0.0084745762711864	1	0	0.739504709682443	4.63848421942697	0.348878168854685	113.303484983737	441	4
"endometrium/cytology"	"MESH"	0.0084745762711864	1	0	0.739504709682443	4.63848421942697	0.348878168854685	113.303484983737	440	4
"endoplasmic reticulum stress/drug effects"	"MESH"	0.0084745762711864	1	0	0.72138150470805	3.21125830575713	0.197494624264373	101.306766372484	578	12
"energy metabolism/drug effects"	"MESH"	0.0171428571428571	3	58.8333333333333	1.03558957068538	5.09608950443962	0.499144126301494	89.7941089664385	681	2
"enzyme inhibitors/chemistry"	"MESH"	0.0084745762711864	1	0	1.55474202777969	2.49764534892221	1	0	7	17
"enzyme inhibitors/pharmacology"	"MESH"	0.0057142857142857	1	0.75	0.753009680408425	3.91542656367134	0.266643560434586	103.124442480653	560	3
"epithelial cells/drug effects"	"MESH"	0.0169491525423728	2	1770	0.755262291662108	8.56335548201902	0.793097838388411	138.214459222138	247	15
"epithelial-mesenchymal transition/drug effects"	"MESH"	0.0114285714285714	2	66	0.986943297254525	11.6102878778932	0.728263637392485	103.380883616699	552	10
"erbb receptors/antagonists & inhibitors"	"MESH"	0.0057142857142857	1	0	0.750971486989379	6.65622515824128	0.507221876414667	158.895967003832	115	10
"erbb receptors/genetics"	"MESH"	0.0057142857142857	1	0	0.767752072892568	5.05531835482307	0.382808963331824	125.307721041853	349	10
"erbb receptors/metabolism"	"MESH"	0.0057142857142857	1	0	0.745259794888462	4.2722330420888	0.277536498415573	150.496436149563	163	5
"erlotinib hydrochloride/pharmacology"	"MESH"	0.0114285714285714	2	39.5909090909091	0.817762811090363	10.3994472815032	0.697077297419647	159.103884837339	109	6
"erythrocyte membrane"	"MESH"	0.0057142857142857	1	0	0.742154069546321	2.3492559382028	0.0983123019465822	99.1174867784919	603	2
"erythrocytes"	"MESH"	0.0057142857142857	1	0	0.740161179818381	1.56617062546854	0.0348008148483477	101.718428449199	566	-1
"esters"	"MESH"	0.0084745762711864	1	0	0.721770430652578	1.78403239208729	0.0722116908103214	98.7283141591023	611	2
"etanercept/pharmacology"	"MESH"	0.0057142857142857	1	0.222222222222222	0.611363401971261	3.91542656367134	0.261900888411046	123.324345192794	387	9
"ethanol"	"MESH"	0.0084745762711864	1	0	0.749156782290496	2.49764534892221	0.117452750113173	124.271522072464	373	1
"everolimus/administration & dosage"	"MESH"	0.0057142857142857	1	0	0.74617053779071	2.74079859456994	0.140943300135808	106.293076044611	499	5
"exosomes/drug effects"	"MESH"	0.0084745762711864	1	0	0.724389427975016	4.63848421942697	0.348878168854685	111.691534069162	460	13
"exosomes/metabolism"	"MESH"	0.0084745762711864	1	0	0.520211248867552	3.56806478417459	0.237515561339973	55.5376696434085	746	11
"extracellular matrix/drug effects"	"MESH"	0.0057142857142857	1	0	0.6539067648091	6.65622515824128	0.507221876414667	141.449121444155	234	4
"extracellular matrix/metabolism"	"MESH"	0.0114285714285714	2	21	0.762165142315223	7.04776781460841	0.624165346310548	159.742364271533	100	3
"fatty acids/biosynthesis"	"MESH"	0.0057142857142857	1	0	0.575496668407077	4.69851187640561	0.373238739248529	103.988138936141	539	11
"fatty acids/chemistry"	"MESH"	0.0057142857142857	1	0	0.753341824645407	5.09005453277274	0.413259676324129	109.814429732787	479	3
"ferric compounds"	"MESH"	0.0114285714285714	2	1.66666666666667	0.973312461495132	6.24382037086205	0.470530712426437	88.1622154502034	689	2
"ferric compounds/adverse effects"	"MESH"	0.0057142857142857	1	0	0.786933041456137	7.01303163665874	0.527232344952467	145.500090107738	198	5
"ferric compounds/chemistry"	"MESH"	0.0114285714285714	2	40	0.770850432745647	6.44780809054323	0.549306459370756	112.471674619997	451	3
"ferritins"	"MESH"	0.0057142857142857	1	0	0.773003980379089	1.95771328183567	0.0791718537799909	117.885564684358	413	-1
"ferritins/chemistry"	"MESH"	0.0084745762711864	1	0	0.723970643122318	3.21125830575713	0.197494624264373	138.051418900072	252	9
"ferritins/genetics"	"MESH"	0.0057142857142857	1	0	0.786933041456137	7.01303163665874	0.527232344952467	145.500090107738	202	5
"ferrocyanides/administration & dosage"	"MESH"	0.0084745762711864	1	0	0.555528598596857	1.78403239208729	0.0722116908103214	113.128979725368	446	8
"ferroptosis"	"MESH"	0.24	42	125519.916666667	1.34198584589101	38.0313774489186	1	62.1721294788775	736	2
"ferroptosis/drug effects"	"MESH"	0.4	70	121079.75	1.34198419291725	5.64728573164253	0.654713317677682	62.3663896939956	733	-1
"ferroptosis/genetics"	"MESH"	0.0228571428571428	4	7961.41666666667	0.987817827289215	12.3041498960525	0.893583422928927	92.7325250659332	666	4
"ferroptosis/physiology"	"MESH"	0.0254237288135593	3	1593.5	0.731104184728445	7.49293604676664	0.761600271616116	152.438741960614	153	4
"fibroblasts"	"MESH"	0.0057142857142857	1	0	0.773024050246578	2.74079859456994	0.140943300135808	116.211700794389	418	2
"fibroblasts/cytology"	"MESH"	0.0114285714285714	2	122.805555555556	0.721692148810003	9.32902784625082	0.716599705749208	159.392832378436	107	9
"fibroblasts/drug effects"	"MESH"	0.0057142857142857	1	0	0.650401006176201	6.65622515824128	0.507221876414667	178.617104836407	22	8
"flavonoids/pharmacology"	"MESH"	0.0084745762711864	1	0	0.701163509666614	4.28167774100951	0.287976742870077	173.732104825133	55	6
"fluorescent dyes/metabolism"	"MESH"	0.0084745762711864	1	0	0.520211248867552	3.56806478417459	0.237515561339973	55.5376696434085	752	11
"fluorouracil/pharmacology"	"MESH"	0.0114285714285714	2	115	0.775400893535646	7.19615722532782	0.664421471819828	131.520151586654	313	10
"folic acid/analogs & derivatives"	"MESH"	0.0057142857142857	1	0.285714285714286	0.6736007123071	3.91542656367134	0.264535706201901	148.579698595566	173	14
"forkhead transcription factors/metabolism"	"MESH"	0.0057142857142857	1	1.46590909090909	0.699522890972455	7.04776781460841	0.575147125396107	169.334355958839	65	6
"free radical scavengers/pharmacology"	"MESH"	0.0057142857142857	1	0	0.668693209843934	5.09005453277274	0.413259676324129	154.775688475829	138	7
"friedreich ataxia/drug therapy"	"MESH"	0.0057142857142857	1	0	0.704352738089469	3.91542656367134	0.25926607062019	169.785784074299	59	8
"friedreich ataxia/genetics"	"MESH"	0.0057142857142857	1	0	0.650401006176201	6.65622515824128	0.507221876414667	178.617104836407	19	8
"friedreich ataxia/mortality"	"MESH"	0.0057142857142857	1	0	0.697320787789878	6.26468250187414	0.457630715255772	174.343237695303	42	9
"fusion regulatory protein 1 heavy chain/metabolism"	"MESH"	0.0084745762711864	1	0	0.573890631065797	4.63848421942697	0.348878168854685	104.267638875918	530	13
"gallic acid/chemistry"	"MESH"	0.0084745762711864	1	0	0.726270389186654	3.56806478417459	0.237515561339973	98.114678994348	616	3
"gamma-glutamyltransferase/metabolism"	"MESH"	0.0057142857142857	1	0	0.749076902129622	3.52388390730421	0.212284970574921	101.624166061312	568	5
"gastritis"	"MESH"	0.0084745762711864	1	0	0.721165132638182	0.713612956834918	0.00522012222725215	99.1213623177972	600	2
"gene expression regulation developmental"	"MESH"	0.0057142857142857	1	0	0.770368988429317	4.69851187640561	0.373238739248529	131.870871140223	308	9
"gene expression regulation neoplastic"	"MESH"	0.04	7	4920.33333333333	1.18404746740151	20.1622653830767	0.925362154821186	77.6111934522152	706	5
"gene expression regulation neoplastic/drug effects"	"MESH"	0.0285714285714285	5	2748.58333333333	0.906718642613728	18.6009809342009	0.899802653915799	170.304305907407	57	6
"gene expression regulation/drug effects"	"MESH"	0.0114285714285714	2	921.764285714286	0.852851005395435	8.40699782171786	0.769987480194658	159.152774360511	108	1
"gene expression/genetics"	"MESH"	0.0169491525423728	2	243	0.767646505104728	6.74337305736782	0.655769013128112	110.783686565373	466	4
"gene products tat/physiology"	"MESH"	0.0057142857142857	1	0	0.697320787789878	6.26468250187414	0.457630715255772	174.343237695303	43	9
"gene regulatory networks"	"MESH"	0.0057142857142857	1	0	0.786933041456137	7.01303163665874	0.527232344952467	145.500090107738	193	5
"gene regulatory networks/drug effects"	"MESH"	0.0084745762711864	1	0	0.6443649779841	1.78403239208729	0.0722116908103214	135.909831941027	272	1
"genes reporter/drug effects"	"MESH"	0.0057142857142857	1	0	0.668693209843934	5.09005453277274	0.413259676324129	154.775688475829	140	7
"glioblastoma/drug therapy"	"MESH"	0.0171428571428571	3	519.257575757576	0.842971189382387	10.1121131589851	0.780772549796288	157.629482626527	124	6
"glioblastoma/genetics"	"MESH"	0.0084745762711864	1	0	0.608623380944751	2.49764534892221	0.117452750113173	90.9111017765599	677	4
"glioblastoma/metabolism"	"MESH"	0.0057142857142857	1	4.75	0.71115875779216	3.91542656367134	0.289302993435944	166.117436367455	80	6
"glioma/metabolism"	"MESH"	0.0057142857142857	1	0	0.673528807627099	4.69851187640561	0.373238739248529	155.613156377723	136	7
"glucose oxidase/chemistry"	"MESH"	0.0084745762711864	1	0	0.726270389186654	3.56806478417459	0.237515561339973	98.114678994348	615	3
"glucose/antagonists & inhibitors"	"MESH"	0.0057142857142857	1	0	0.752126225029941	5.09005453277274	0.413259676324129	109.3699191573	483	5
"glucose/metabolism"	"MESH"	0.0228571428571428	4	1339.5	1.11929480596827	2.85668923283031	0.212567904028972	83.1409599092758	698	-1
"glucose/pharmacology"	"MESH"	0.0114285714285714	2	32.5	0.889360915245559	3.25190028106263	0.236084979062924	112.634839897381	449	12
"glutamate dehydrogenase/antagonists & inhibitors"	"MESH"	0.0057142857142857	1	0.933333333333333	0.670255206131777	3.13234125093707	0.1753020314622	152.255774492615	156	12
"glutamine/antagonists & inhibitors"	"MESH"	0.0057142857142857	1	0	0.752126225029941	5.09005453277274	0.413259676324129	109.3699191573	488	5
"glutaredoxins/antagonists & inhibitors"	"MESH"	0.0057142857142857	1	0	0.701892485477056	3.91542656367134	0.25926607062019	166.427457798406	75	12
"glutathione"	"MESH"	0.0228571428571428	4	3	1.28546499829738	5.53405044316778	0.465216868492531	64.7604615310353	718	2
