ODC_0	ODC_1	ODC_2	ODC_5	ODC_6	IBD-AP_0	PSO-AP_0	RA_AP_0	RA_AP_2	CTR_0	MP-ST_0	MP-ST_2	MP-ST_3	MP-ST_5	MP-ST_6	MP-TA_0	BRE-ST_0	BRE-ST_1	COL_0	COL_2	MM-ST_0	UM-ST_0	UM-ST_1
DNA Replication Pre-Initiation	0.0191916341847082	0.014664806455133	0.0133147381424867	0.0177186643772279	0.010789146831604	0.0224944945023765	0.424205064415998	0.00615888002825339	0.0233905059874576	0.00269253665690176	0.0059435394450844	0.00527658106282745	0.0212535895253483	0.0149582802809181	0.00577067008628631	0.000502607654687982	0.000429469827787573	0.00166392927430522	0.00205465766200289	0.00499462239513616	0.00206609076279831	0.0334472620383699	0.00193043130681827
Aberrant regulation of mitotic cell cycle due to RB1 defects	1.94731858112253e-05	6.99307762265792e-05	0.000109617894442024	0.000139710106670601	0.000151886616724764	0.809508547966154	0.845323319336578	0.32881504558336	0.25398510639359	0.00026523898925555	0.832496875836112	0.688995054617316	0.648377173121392	0.447400357193902	0.0250640993337857	0.550837261695612	0.000430610830350845	0.000165068340317225	0.31816395332072	0.00112386589754945	0.000193833704181704	0.189109276967928	0.00150484341767099
Signaling by TGF-beta Receptor Complex in Cancer	0.740620041095604	0.210746554703368	0.234990531630435	0.271631890251367	0.211628789131735	0.00068697524624328	0.226434668727728	0.00203165362850718	0.00100974761197775	0.00096058924006343	0.482553446500276	0.00509366581101367	0.0134924334171905	0.00846832436832115	0.00151349208667203	0.0470132307330735	0.000433646868838151	0.00132114533488196	0.00503579861002232	0.00158621204363942	0.0221978541728194	0.777980791008555	0.00224400925348456
SHC1 events in ERBB2 signaling	0.0325473090169837	0.0191267977499093	0.0151077941908696	0.0174938535408467	0.0166207928803843	0.00327081498899194	0.00796253954235965	0.00194390054198642	0.00212593927879635	0.00105499207612968	0.0120151258978276	0.00962439922656676	0.00441105431530002	0.00904519464270874	0.00784391475033937	0.00204828274110855	0.000435399438069376	0.0020280351980868	0.00610764340805561	0.000638916204545659	0.000656692164548709	0.0134749656173501	0.00689032938185153
MyD88-independent TLR4 cascade 	0.00407892405489084	0.00330105099087092	0.00377970566041885	0.00250331648762384	0.00235777746812863	0.000118346274935681	0.00146136487945385	0.00233776878960396	0.000353313699276643	2.26608428340867e-06	6.4516405675473e-05	2.43879906095681e-05	1.7233119772698e-05	0.000148413385875302	2.3028751550086e-05	0.00703244770465368	0.000460794781018133	2.91927527295597e-05	0.00265648301141878	4.81440664636989e-06	0.000180183439335437	0.00093993726645602	1.13373640233572e-05
EPH-ephrin mediated repulsion of cells	0.0524117116106294	0.194969844990608	0.0407092201280585	0.0389683690439129	0.052104402730818	0.00129546682476468	0.00386363176978115	0.00333172625693127	0.00522959781855458	6.20116207857614e-05	0.0197089217517865	0.00643941381441935	0.00149572670177222	0.000459855795234869	0.000312350558781832	0.00215675312335678	0.000462918071210986	2.86219266436559e-05	0.00316524535936743	0.000103229893581138	0.000116977040687384	0.000120129382082379	5.00438376823959e-05
Downstream signaling of activated FGFR4	0.0589894434225259	0.0538023068018353	0.0727267767726271	0.0716352870176468	0.0711221980579935	0.00551244266986652	0.00078801907816981	0.000349078255464946	0.00232831928159224	0.00025009150505646	0.0073038579721315	0.00513666062096524	0.00520670863758033	0.00611776290149632	0.00128401719615984	0.000162233888815276	0.000473044540160384	0.000372529103286088	0.000382903552876243	0.0012969511721094	0.000774506108955639	0.000233530183121591	0.00102442577996012
Role of second messengers in netrin-1 signaling	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.769986423957705	0.99936320502732	0.756538691580435	0.000184269008664199	0.000417314036789671	0.99936320502732	0.00171094807767005	0.00152827129400383	0.00223034178308299	0.00105830444626619	0.75785450451187	0.000479261607563744	0.000111647208908813	0.736246400187243	0.227212646879185	0.000151587988023149	0.000766616391824428	0.000242558501231006
MTOR signalling	0.00272098572582665	0.00152197660481706	0.000752918346989291	0.00182966497165721	0.000890090870526041	0.000980046964854021	0.0053949808099563	0.000625459012116633	0.000728025427575306	0.00100280629645056	0.00043439039319343	0.000551454022089623	0.000864552822492573	0.000190031858589725	0.000779681607633471	0.00063184477563653	0.000486038778380391	0.00124887380959209	0.00688657426843506	0.000302651272171108	0.000584447066354731	0.00197900620430055	0.00126235500803544
TP53 Regulates Transcription of Cell Cycle Genes	0.00237907438783292	0.00328728646808979	0.00702317678398007	0.00952253084450124	0.0059664108761857	0.0301071243750236	0.132893407293303	0.0181717287645001	0.0178748980756814	0.000369239180448567	0.0280902382261931	0.428565714123388	0.432924817827087	0.340788987327228	0.0556462253528033	0.234660419120871	0.000488838247739107	0.000245779174654848	0.0127106089899975	0.00649032885609985	0.000689746733139949	0.0339391583641807	0.00407643180043858
Downregulation of ERBB2 signaling	0.0485811245507996	0.155402560674812	0.0853654295587122	0.0237480277747611	0.030276805428631	0.000367864706239648	0.00266775886028955	0.00217292376577788	0.00520095357234566	0.000564500845459937	0.0575042045310226	0.0404230805653687	0.0255477819269015	0.0315578849266279	0.0156020012605295	0.00171982427755361	0.000507690428585264	0.00602652950827561	0.000561555016119195	0.000694413586348117	0.000366920239279182	0.00111719544328372	0.0040670520003254
Regulation of TP53 Activity through Phosphorylation	0.00368212536555638	0.00367735972049	0.00153461605376335	0.00172468211126399	0.00250848573350473	0.00271365010460229	0.324803713780366	0.00386584844085401	0.0053756181337805	0.000258522539430174	0.0156724782236279	0.00696030256655195	0.00458789389970051	0.0043009659186614	0.00245230526774924	0.00306031258908059	0.000509815232771518	4.27648793996978e-05	0.00381659261662334	0.000213785799388639	0.00132652283730841	0.0125567074356296	0.00076846757683199
Signaling by FGFR1 in disease	0.394322732193111	0.170297890712813	0.0778991979635569	0.0329984559537208	0.0336467201751947	0.00408077809930348	0.0197429020028507	0.00252868176321428	0.00128953861437681	0.00122965374495986	0.000992715432577538	0.00189478836179246	0.000967524158878177	0.00153277863709574	0.00114933864244112	0.00947543766511896	0.000516336737911268	0.00299496100914595	0.00180672012454785	0.00466414207427613	0.00298871399134965	0.00104594619465652	0.00118642326728934
Loss of Function of SMAD2/3 in Cancer	0.773089011522836	0.320218365755717	0.295351461445032	0.294569255895103	0.357438984634169	0.000324449994321292	0.229408985811736	0.00312512259048866	0.000913481319465907	0.000784232600557176	0.486447530678423	0.00513446059903104	0.0089798371673804	0.00685418490273932	0.0013935554301256	0.0705403366084094	0.000523031636638493	0.000378655633615303	0.00265745207002049	0.00179941721624642	0.0408889528042527	0.78471007070245	0.000482680175577719
Negative regulation of FGFR3 signaling	0.00570970301202447	0.0340061497814397	0.0276319876238364	0.0247296903707594	0.0290882275518277	0.0152420816528267	0.112734791757602	0.0458946559217387	0.0574285986341113	0.000646704753909443	0.0848834212497302	0.0479761853984706	0.0445440793436491	0.0437666464809609	0.0230528606781555	0.0333151486810675	0.000530691078398883	0.000576880563753538	0.00127806488658694	0.00211427645049194	0.00406968589536942	0.0123889542128782	0.00233193087487588
Formation of Incision Complex in GG-NER	0.043363340234344	0.227968904413163	0.112730284802702	0.142331107477858	0.10032016617058	0.135347253063987	0.000596546997615238	0.00489372311952776	0.00352608839256909	0.000343196111791539	0.0142875479054482	0.00413029061750641	0.0100935833222875	0.00535429153760607	4.07508720168786e-05	0.0184360513142675	0.000534037109917418	0.000402794419049372	0.00175000661859544	5.05449554324908e-05	0.000561222811702036	0.571728741635036	0.000337948400566967
Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	3.05966525504514e-05	0.000163176182102355	0.000160054672424408	0.000377980075001884	0.000439888644140094	0.834668598351193	0.814371351731753	0.338582923616583	0.325921304574143	0.000857415213464547	0.858910969568921	0.701194242691984	0.689653826963667	0.48097257477695	0.0696392131143069	0.665597791777353	0.000542381435263156	0.000281099304887039	0.415665841686982	0.00343661864800595	0.00073633709032684	0.696828703346452	0.00216111677330773
Transcriptional regulation by RUNX3	0.000340767271277927	0.000632134287201742	0.000174780330957372	0.000401223962297172	7.84645919255488e-05	0.00149675258684385	0.000911002303419703	0.00548736201481667	0.00437531125084049	4.06861929197606e-05	0.00450250825483151	0.00283781796923819	0.00302923656069501	0.00325373536178009	0.00497782411311282	0.00167035918828981	0.000552969712193916	0.000101543962313276	0.000205590453437609	0.0031984283035926	0.00227283066020877	0.0145486635040294	0.000140185980287619
RAF activation	0.0168659515523327	0.0132054537393553	0.0103329921753072	0.00961558748180825	0.00986989503910709	0.0098972038871133	0.0246131160880964	0.00161123262051922	0.00258379828569923	0.000150110586385614	0.000479856304479825	0.000622684650404803	0.000844019967102549	0.000917708476544807	0.000243571890777584	0.000981514105371273	0.000554810790447434	5.64106678448844e-05	0.000146459739514011	0.00014067866444978	2.96404931403626e-05	0.000481870733828068	0.000267481622249094
Signaling by ERBB2 KD Mutants	0.0116081955034593	0.0112777872988067	0.0103822456712834	0.00256252946922077	0.00182797897587244	0.000839748989795507	0.00138308443473314	0.000356618281347802	0.000412285240227733	0.000118769110449976	0.00350864394598646	0.0011529163760813	0.00112435524991802	0.000779913246337992	0.000811396371298031	0.000864990143879496	0.000569927602190612	7.17958019939135e-05	0.00273307836118112	0.000227427507299912	0.000310151120024085	0.00094176848486955	0.000450324839759515
Cyclin E associated events during G1/S transition 	0.00249530742028929	0.000794479922989854	0.00227772995423001	0.00141681486542892	0.00146969917003148	0.0394125418346577	0.0182277903803835	0.0132337661093131	0.0123344810177074	0.000789205221696662	0.16956186720536	0.0357968211095325	0.0557094162596107	0.0450790755943852	0.0123283754969357	0.0387600864150347	0.00057212730369918	0.000349710601391373	0.053449048800492	0.00161783507146999	0.000821073727549267	0.166313808521505	0.00186695480872402
Activation of BH3-only proteins	0.00267307693590899	0.0018072470937752	0.00336830441011008	0.00407775873327468	0.00555604497032799	0.00761635621611578	0.0304896540024164	0.00172157121970481	0.00208057659346785	0.00449669660765491	0.00330561367743936	0.033942727168869	0.0291116247792538	0.0413730249916259	0.0231631492327366	0.00445096310644598	0.000582415730665352	0.00719568838199467	0.0483384315784927	0.00630071484587619	0.00422057215860533	0.00651610320675125	0.0105129855976817
Negative regulation of FGFR2 signaling	0.00818287863404629	0.0237376035660554	0.0212041125845499	0.020820811905235	0.026253794207967	0.0210284591078961	0.104802607308981	0.0512282298848877	0.0653026099470396	0.000311498495321343	0.0776197016721998	0.0436769550726357	0.036651088918008	0.0316863816596895	0.0139021227183077	0.0662275108537233	0.000585868432483627	0.000841286629327176	0.00116699741514871	0.00159147187369955	0.00681204697303871	0.00979972951876864	0.00200547402878498
Activation of ATR in response to replication stress	0.774997423138847	0.76298347953416	0.724213955306119	0.699820696529506	0.702292783215093	0.520603877119562	0.810938664238436	0.0794756813510764	0.102536628865523	0.00562263414932673	0.0577571921368995	0.0432020454835646	0.0516171917416286	0.0484311990520963	0.00443282269741752	0.0463588029151254	0.000593667427613101	0.000226368976301389	0.0535957403475812	0.0186337073866609	0.0211569196088485	0.0422768556575349	0.020018076496645
Glycerophospholipid catabolism	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.000330192347495215	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.000600594467511738	0.000880318913804954	0.99936320502732	0.610551522732078	0.627225696447667	0.99936320502732	0.000358020861600021
Protein-protein interactions at synapses	0.00138934311775321	0.00202939797781613	0.00162419449335116	0.00306339958581993	0.00283022049765355	0.0235084261951778	0.462646225724325	0.00365023218800388	0.00252207986666413	8.21504267900802e-05	0.00135668655615896	2.96339761452629e-08	1.63694130048422e-06	2.0093721737613e-06	6.94184507038502e-06	0.00831006660390152	0.000607828461429332	0.000392064953630417	0.00248288008400455	0.000310347275402687	0.000105068864964279	0.00012757998987323	0.000141745425225052
Negative regulation of FGFR4 signaling	0.00668793291735146	0.0238956950121569	0.0163742338847027	0.0320268099659811	0.0244028887417914	0.0108720352607579	0.101089117420689	0.0384293615658747	0.0571388555480387	0.000348822932477377	0.0832054687568225	0.0506177253649537	0.0506796265987682	0.0440660335267297	0.0151265600126778	0.0260565266635496	0.000610656671739355	0.000306353806770015	0.000700794705836435	0.00130610819215846	0.00304393629299765	0.0135780980964196	0.00198467301228544
Downstream signaling of activated FGFR2	0.0574632327156765	0.0720439754710593	0.0581455796241138	0.0631396507611081	0.0645846648569302	0.0118687924942095	0.00325524766793182	0.0010931557673439	0.0018291124383679	0.00040167276176323	0.00948272031306603	0.00504559043589822	0.00340241975254354	0.00794249454678568	0.00207872833648084	0.00274658845180166	0.000611719877236402	0.000777540821295033	0.00404683060610427	0.00359315120424888	0.000998558613813787	0.00030962141169932	0.000975859624086975
Signaling by FGFR2 in disease	0.392275077398836	0.219978598076857	0.0413177438452254	0.0503228294925037	0.0350726235695597	0.010149328109228	0.0108694255224035	0.00438248925527852	0.00464231624089873	0.00143432199133624	0.0136742928451581	0.0184111265356282	0.0244964590201478	0.0246265189263766	0.00903073024260074	0.00369495278920717	0.000629209179317755	0.00080037992623318	0.009266760620848	0.0102746616133031	0.00559226139812577	0.000381452066408828	0.00736198895249047
Downstream signaling of activated FGFR1	0.066281947809048	0.0704526272404582	0.0820221020693346	0.0541413403385008	0.0559972009877213	0.00363049762942042	0.00204338147567917	0.00188662997332912	0.00188929902875986	0.000357366427855289	0.000836734080499826	0.000735549218688371	0.0008181879409882	0.00261527817368173	0.0032460029949844	0.00268675369111185	0.000633363158624328	0.000539819688244003	0.00456175839974436	0.00272671256928284	0.00261662149342627	0.0039526373502164	0.000554021384198011
Striated Muscle Contraction	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	6.63150665005001e-05	0.00304716632742618	0.00221217109322752	0.00107726815075816	0.00010068286476959	0.00150318698646869	7.46485685347189e-05	5.22153275076539e-05	5.79813492721621e-05	1.5225368917723e-07	0.000745042393352788	0.000636789927417677	2.53421830997416e-07	3.3313245124515e-05	5.00822028582058e-05	1.82328965191579e-06	0.0295872379375632	5.46710940575967e-06
Signaling by FGFR3 point mutants in cancer	0.367700486035108	0.237606237777236	0.238878958483893	0.212671460448185	0.200250936216791	0.0311659309193072	0.00287057139773327	0.00114306375469517	0.00148813679155918	0.00109107200578944	0.0129160585331641	0.0154199227238622	0.0109888602770462	0.0225585329022599	0.00771145693352426	0.000525650008022549	0.000660648005469278	0.0023939061421599	0.00145334856095145	0.00940980497590711	0.00077328983464261	9.12432910461483e-05	0.0024771488642775
G0 and Early G1	0.00203591386786332	0.00116251652498899	0.00221350764051338	0.00268458529670827	0.00142755926660996	0.686309483473978	0.290582416251281	0.0571265678686271	0.05917252164708	0.000560545722713023	0.553852694765886	0.038509477718347	0.02194796455409	0.0170704613513797	0.02957325337852	0.381535779390042	0.000664987619947282	0.000939855691186009	0.0340699309326705	0.00834074196340259	0.00146513372921098	0.520070013181591	0.00407719102621994
Toll Like Receptor 5 (TLR5) Cascade	0.00660403340755476	0.00259921197842623	0.00237172877448084	0.00227372806060649	0.00237060295716088	0.000260676225152707	0.000252392407836647	0.000937296111826788	0.00105203905180598	1.25462102189764e-05	0.000496581914214569	0.000753276083133792	0.000435691663705506	0.000174877290720989	0.000357443704496622	0.00298272628143279	0.000683829314638841	6.10047396486932e-05	0.00137313822003608	2.35066364330565e-05	0.000310954402370397	0.00137051304842837	2.19662765082569e-05
APC/C:Cdc20 mediated degradation of mitotic proteins	0.414476942319892	0.520418676996702	0.529893438244049	0.535960415929948	0.528238391139683	0.164817625457663	0.423171330797967	0.216457452044966	0.513752950290631	0.0046582318636267	0.858336974834003	0.0205089389083821	0.0195442874801276	0.0177392972030953	0.00643046740939595	0.0128232443701282	0.0006986677774645	0.0026128492014095	0.0288715850424339	0.00338308041895179	0.000517206312953947	0.0171885336017485	0.00149271481419358
Signaling by ERBB2 TMD/JMD mutants	0.0106807050057096	0.0076127609701205	0.0224131268819371	0.000926401450916459	0.00240823467807047	0.00297699627063229	0.00194193803896484	0.00084302757682154	0.000117898401418261	0.000302139434093322	0.00277236045141883	0.000995668735872431	0.00102788227815604	0.00159823924388843	0.0015513598020977	0.00256318692088741	0.000729525137707401	0.000595482282463599	0.00181034304926501	0.000385937787218465	0.000324222446077568	0.00118355431703562	0.000445950701105426
Toll Like Receptor 10 (TLR10) Cascade	0.00556909292774491	0.00353969545744987	0.00131099364682262	0.00212473823814344	0.000669998707610864	0.00032949742768749	0.00111527220870023	0.00144897503564007	0.000867515745739482	1.03751891102696e-05	0.000299890583349015	0.000903207975382176	0.000571198729645635	0.000207646550897708	0.000252729463150413	0.00529912772560729	0.0007357140553586	0.000156131432828871	0.00156035316566978	1.23242368308581e-05	0.000392271814170575	0.000964384898976802	7.96505107828513e-05
WNT ligand biogenesis and trafficking	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.00752668429866456	0.00494566345110334	0.000716421685717971	0.000743567494803113	0.000841703587124965	0.30833760836126	0.334961699564847	0.300846746889451	0.350028652923615	0.00779275225876188	0.00789906696999646	0.000736449075684669	0.00165841915446123	0.000414844616097169	0.000722374376075004	0.00104234303593871	0.00184806262360658	0.00121219994491375
Phosphorylation of the APC/C	0.800176042798266	0.790921556423856	0.814727696914084	0.757676338416424	0.865068362451769	0.783914692287441	0.835838788186143	0.831079114755883	0.801679388208818	0.000637177739960166	0.11056105524877	0.124009446363076	0.199351558467254	0.121606466607544	0.452427978917385	0.158198719789938	0.00073698697790809	0.00170847669114186	0.732780370176027	0.00125185931225207	0.115525527949908	0.0465448301956928	0.001739195406972
Nuclear Events (kinase and transcription factor activation)	0.00252026622047798	0.000280722595722018	0.000413429200262511	0.000757861062448517	0.000592042235464762	0.00222408041373597	0.010165985099596	0.00312588882237613	0.00316434951483542	0.000184576728798899	0.000637198598396011	0.00220353773271703	0.000588727794118509	0.00145831815530383	0.0038673976724692	0.00708964624851106	0.000753899827133238	0.000266282893098977	0.00707709631457446	0.000279366367502972	0.000122536533127001	0.012094003469804	0.000194084665411118
Post NMDA receptor activation events	0.000296536059685513	0.00098556564022253	0.00114716784553213	0.00122141037856428	0.00211791975086785	0.00211230201183804	0.0577167502517241	0.000168944278319163	0.000215336932098682	0.000163061756911821	0.000672429013376133	2.95976976297166e-05	1.5256146962574e-05	3.91452622951812e-06	2.18893876261059e-05	0.000521394498204719	0.000758280926228357	0.000830204827873465	0.000206526876981297	8.66690804579669e-06	3.14948728484409e-05	0.000544157663151094	0.000476164939816685
Negative regulation of FGFR1 signaling	0.0073776106062305	0.0279399870796962	0.0156026275104166	0.0289099618624028	0.0249962742686592	0.0150373487888823	0.100711332657623	0.0508316213024864	0.069074768597125	0.000402775592692656	0.0359399148764215	0.0297375375854785	0.0283766825036211	0.0232163039917119	0.0177841398590309	0.0572350811458447	0.000765209952907026	0.000515414928808999	0.000946836463181154	0.00342793058337576	0.00762610464708327	0.0302153087149806	0.00441255057127394
Disassembly of the destruction complex and recruitment of AXIN to the membrane	0.00422841319937024	0.00495517061073779	0.00522840731895386	0.00668621344581118	0.00425496316962482	0.000702369715743692	0.0119750903211524	0.000802892711168787	0.00339076946176603	0.000247301064084276	0.000357341163825062	0.0028355642956556	0.000878436967882846	0.00367804122529324	0.00217582715470227	0.00136050945438078	0.000770611669052756	0.000157835262468665	0.00110953297825131	4.69538330749814e-05	0.00026412812778235	0.0100614112038516	0.000213676961634703
Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	0.846833072421786	0.79236022213574	0.746050142660339	0.7570715377108	0.754784112107197	0.016231837541474	0.00109190537136229	4.73586214307256e-06	1.97180570981501e-05	0.000206627486013265	0.00316916543338538	0.00202042665912562	0.00275340450228191	0.00227788017951247	0.000334712428886778	0.000435505766755696	0.000786367740928794	0.000802967176524714	0.000236900492485884	0.000417433951562821	0.000268665286222756	4.5800003093759e-05	1.12141051568276e-05
Listeria monocytogenes entry into host cells	0.879591480244245	0.786148574795887	0.80232749248273	0.819237316192497	0.812813804531399	0.0664814173141224	0.0848772494665277	0.0906007413123694	0.0571682589162504	0.00476110178837583	0.867290482981672	0.167342490133185	0.167981726861418	0.0793908625715749	0.0279480279613742	0.313012331769779	0.00082987638788869	0.00379713581713113	0.0162536084242852	0.0072163433428437	0.024296701295721	0.00766331847870677	0.00576712956069132
EGFR downregulation	0.586941650340154	0.166074747530036	0.153445714052806	0.089688593165664	0.166140029525784	0.0193236116314208	0.0356343982054826	0.00516969489853176	0.00710853377483544	0.000626802301367855	0.231005128515117	0.0111199971784015	0.0146194000084911	0.00875336290218255	0.000667055543773868	0.0392024237537489	0.000836505512274892	0.004783735958215	0.000885635856609359	0.00303298642217854	0.00423591805954932	0.00398357427473699	0.00382050387179632
MAP kinase activation	0.014334739473675	0.010071968000275	0.00472567402828038	0.00754871900026618	0.00447054819187578	0.00210513090894282	0.00308309474905887	0.00561260575001428	0.00592755985488428	4.87658022368428e-05	0.00365331632626301	0.0044575373697073	0.00399351992243605	0.00200346598617916	0.000804798067969405	0.0152324485978157	0.000851969083907065	0.000333861513216999	0.0014406546455952	0.000208808789445746	0.00128473042916665	0.00483318800693396	0.000117263118655115
TRIF(TICAM1)-mediated TLR4 signaling 	0.00424327345499933	0.00359633515879632	0.00181904987070574	0.00149196288613283	0.00222141035852097	0.000307864404636154	0.000371250688157736	0.00136478095342471	0.000245923656086949	2.02072828584475e-06	2.23293337718388e-05	0.000137600643979281	8.84971793370759e-05	0.000105194465676843	7.14557428448288e-05	0.00379874270571413	0.000865153816016377	1.54528215259644e-05	0.00102322610263797	1.94532977336842e-07	0.000382817037271095	0.00135097074068785	7.71000855489755e-06
Signaling by FGFR3 in disease	0.38865992736703	0.234628498080974	0.231714622962533	0.230461970929251	0.217673879368541	0.0237310044539526	0.00204979322485371	0.00116893444881402	0.00105713328919539	0.000872249394973461	0.0153478677712809	0.0170383626084512	0.0168933850677044	0.0177616133770758	0.00484773499149788	0.000597665159485867	0.000884959959119384	0.00170682323801215	0.00333483869140947	0.0109103583165203	0.00160012903967444	0.000303878384384861	0.0014570948422642
Gastrin-CREB signalling pathway via PKC and MAPK	0.0149516056923207	0.0197235016325327	0.0283842416404811	0.00954829551584218	0.0208796645710721	0.0267818513488131	0.0150367001300734	0.0263712999977318	0.0236593002446849	0.00142005307917448	0.00976629230400719	0.0072694707883608	0.00822601237069541	0.00996645246079948	0.0052249026517663	0.00508626255327927	0.000902620300455145	0.00167966980668239	0.00412298843512094	0.00110334445798571	0.00135216210149338	0.00921944288084973	0.00478537998438337
Signalling to p38 via RIT and RIN	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.640961046129049	0.808063944709408	0.521457132862202	0.0913886791260213	0.000548343173901155	0.490271602266556	0.00906415341349329	0.0013282044788524	0.0593416211726283	0.000173543036306237	0.707406935473612	0.000910807873026817	0.000106441565080049	0.579782964701679	0.0334532598285992	0.0565999267714779	0.00210766761158273	0.337837471973697
PI-3K cascade:FGFR3	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.0895369442341947	0.00629752061668285	0.00121910089765147	0.000572584991921367	0.00584398775864071	0.00824880917192843	0.0225852603919134	0.0262977129454201	0.0375711172131344	0.0060880695463973	8.54955714969095e-05	0.000911043788918025	0.00328513149707825	0.00200473163931249	0.0031446885498685	0.00935376449338049	0.000200897652399545	0.000759420515981172
p75 NTR receptor-mediated signalling	0.0110386478491353	0.0117338717342447	0.0147569890463903	0.0127984671168299	0.0161112895868556	0.00260393992083809	0.000507450681155998	0.00242135008234697	0.011691642915477	0.000115162754780075	0.00803776608857642	0.00348734131637312	0.0038734575445797	0.0020367343121833	0.00128216157723263	0.0518269533984336	0.00092005466598736	0.000105866144477497	0.00585121962142256	0.00351271885766411	0.000425309991348203	0.00235527551442013	0.000533348175723578
Toll Like Receptor 3 (TLR3) Cascade	0.00784167696195679	0.00136452448294897	0.00306599231836595	0.00146539952961702	0.00410518504484304	0.000257081646407785	0.000642628997961193	0.00137977543351334	0.0013351659858506	1.25290246904322e-05	0.000119970078304394	0.000371636438724864	0.000364267154084484	0.000410910726941594	6.13122228314494e-05	0.00328450007277986	0.000924090281318898	9.57583589696294e-05	0.00616979826072228	7.57580377513029e-06	0.000342030524515579	0.000858845094373974	9.38332958426462e-06
RAC2 GTPase cycle	0.00383513330228951	0.00347215221890587	0.00129351785580838	0.00287935496925376	0.00291890622202392	0.00362345530178535	0.00576465694795933	0.00168080899085058	0.00245065000492629	5.17012004602997e-05	0.00965858949909103	0.00181475878903271	0.00288060231994464	0.00273348360700159	0.0010175311886059	0.00376198855149033	0.000932116237730448	1.30401152747111e-05	0.0010666037868192	1.3763774942591e-05	0.000257657710842551	0.00558357835777553	4.58101847812185e-05
Signal attenuation	0.0921711472977446	0.101106209106273	0.0914216569541088	0.110686164347572	0.0973469148627892	0.493239118668541	0.10766259656007	0.00208112032877967	0.00221262646332779	0.00148401435188982	0.0660108512199229	0.0415447510032761	0.0310625081143138	0.0614022451791566	0.0104516527179981	0.00684782194042172	0.000958736122449563	0.00346795471856484	0.0381879803442735	0.00909416466299042	0.00193039121219523	0.0734222030256487	0.00610437619763034
RHOJ GTPase cycle	0.00406969832782977	0.0013168933271813	0.00127343556914828	0.00140655642996421	0.00296280737912379	0.0133641377305155	0.0597892150128082	0.00696456067176515	0.00279326476856434	0.000190889355321042	0.00649557897118033	0.000902413492009141	0.000314840693297156	0.000204038222308603	0.000328015957604177	0.00460924315112708	0.000959229967399662	0.000315896672507763	0.00134362956053386	0.000128074311162746	0.000312247406406174	0.00027685288385588	9.0695813911051e-05
Regulation of TP53 Expression and Degradation	0.00260186059677532	0.00234667464394814	0.00187715024219134	0.00190746260610091	0.00105952856718232	0.00154804829988095	0.198841537596074	0.0015418575291869	0.00281823695011137	0.00170295484203616	0.00113711050705364	0.00304002278885981	0.00505093369762198	0.00642885622651585	0.0139759969060258	0.0396131564565757	0.000976874571159231	0.0013327498897292	0.006218869573672	0.000634152710562619	0.00369583099585331	0.0534613270841249	0.00172818603565217
G alpha (12/13) signalling events	0.00155469404219775	0.000427969098269286	0.000477405275778434	0.000566143240225384	0.00067221096538521	0.00574412450168416	0.0616517213371247	0.000385155052695018	0.000122980548989236	3.95265774277636e-05	0.00196595507429246	5.20181242337255e-05	6.75198251913614e-05	0.000698636527238421	6.38826623109995e-05	0.000545051170486824	0.000985882869231582	0.000133399249855347	0.00667141330821286	4.97224691654062e-05	0.000116004850059138	0.00358607649423551	4.37138376739198e-05
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	4.87215360072449e-05	0.00021798270051248	0.000238159820961011	0.000214054060283321	0.000382339018669158	0.0079912340622508	0.520990091425619	0.0248835770807619	0.0209456808409586	0.00143508400511959	0.0125587119246927	0.0116931919377658	0.010167301421493	0.00982641402503451	0.0140000082859884	0.0252501071340097	0.000988813038827351	0.000367929571351395	0.0396878029475756	0.000210942696275523	0.00293834546134278	0.00495013003661281	0.0087856345017162
Intraflagellar transport	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.00485670378446518	0.99936320502732	0.99936320502732	0.568492655367178	0.137801407065498	0.0147869924900905	0.99936320502732	0.000995064777961011	0.00256343818309966	0.99936320502732	0.00284174947664141	0.99936320502732	0.99936320502732	0.00052693388024977
