#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0140052	Cellular response to oxidised low-density lipoprotein particle stimulus	3	11	2.12	0.00018	9606.ENSP00000248244,9606.ENSP00000363089,9606.ENSP00000415743	TICAM1,TLR4,CD36
GO Process	GO:0010243	Response to organonitrogen compound	11	963	0.74	0.00019	9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000320866,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000415743	TGFB1,TICAM1,SLC9A1,STAT3,TP53,CALR,TLR4,JAK2,NFE2L2,IL6,CD36
GO Process	GO:0010605	Negative regulation of macromolecule metabolic process	18	2760	0.5	0.00020	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000385675,9606.ENSP00000398410,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482	HMOX1,TGFB1,HSPB1,STAT3,TP53,ATM,CALR,NLRP3,HMGB1,FN1,ATG5,TLR4,IL6,KDM8,CD44,CD36,HIF1A,BDKRB2
GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process	22	4074	0.41	0.00020	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000226067,9606.ENSP00000248244,9606.ENSP00000261024,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000398410,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,HLF,TICAM1,SLC40A1,NOX4,SLC9A1,STAT3,TP53,ATM,CALR,NLRP3,HMGB1,TLR4,JAK2,NFE2L2,IL6,TF,KDM8,CD36,HIF1A,STING1
GO Process	GO:0051047	Positive regulation of secretion	7	308	1.04	0.00020	9606.ENSP00000221930,9606.ENSP00000339787,9606.ENSP00000350012,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000437955	TGFB1,ACSL4,ACSL3,ATG5,TLR4,JAK2,HIF1A
GO Process	GO:1903202	Negative regulation of oxidative stress-induced cell death	4	46	1.62	0.00020	9606.ENSP00000248553,9606.ENSP00000280612,9606.ENSP00000380252,9606.ENSP00000437955	HSPB1,SLC7A11,NFE2L2,HIF1A
GO Process	GO:1901731	Positive regulation of platelet aggregation	3	12	2.08	0.00021	9606.ENSP00000371067,9606.ENSP00000378431,9606.ENSP00000385675	JAK2,MMRN1,IL6
GO Process	GO:1903800	Positive regulation of miRNA maturation	3	12	2.08	0.00021	9606.ENSP00000221930,9606.ENSP00000269305,9606.ENSP00000385675	TGFB1,TP53,IL6
GO Process	GO:1902895	Positive regulation of miRNA transcription	4	48	1.6	0.00022	9606.ENSP00000221930,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000437955	TGFB1,STAT3,TP53,HIF1A
GO Process	GO:0050793	Regulation of developmental process	17	2492	0.52	0.00023	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000320866,9606.ENSP00000335062,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955	HMOX1,TGFB1,HSPB1,STAT3,TP53,CALR,PDCD1,NLRP3,HMGB1,FN1,TLR4,JAK2,NFE2L2,IL6,CD44,CD36,HIF1A
GO Process	GO:0071496	Cellular response to external stimulus	7	317	1.03	0.00023	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000263980,9606.ENSP00000269305,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000380252	HMOX1,TGFB1,SLC9A1,TP53,ATG5,TLR4,NFE2L2
GO Process	GO:0097190	Apoptotic signaling pathway	7	318	1.02	0.00023	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000371067,9606.ENSP00000450482	HMOX1,TGFB1,TICAM1,TP53,ATM,JAK2,BDKRB2
GO Process	GO:0098542	Defense response to other organism	11	989	0.73	0.00023	9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000269305,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000415743,9606.ENSP00000498596	TGFB1,TICAM1,TP53,NLRP3,HMGB1,TLR4,JAK2,IL6,TF,CD36,STING1
GO Process	GO:0043618	Regulation of transcription from RNA polymerase II promoter in response to stress	4	49	1.59	0.00024	9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000380252,9606.ENSP00000437955	HMOX1,TP53,NFE2L2,HIF1A
GO Process	GO:0051046	Regulation of secretion	9	620	0.84	0.00024	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000339787,9606.ENSP00000350012,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000437955	HMOX1,TGFB1,ACSL4,ACSL3,ATG5,TLR4,JAK2,IL6,HIF1A
GO Process	GO:0022409	Positive regulation of cell-cell adhesion	7	322	1.02	0.00025	9606.ENSP00000221930,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000371067,9606.ENSP00000378431,9606.ENSP00000385675,9606.ENSP00000398632	TGFB1,NLRP3,HMGB1,JAK2,MMRN1,IL6,CD44
GO Process	GO:0010468	Regulation of gene expression	24	4899	0.37	0.00026	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000226067,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000261024,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000398410,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,HLF,TICAM1,HSPB1,SLC40A1,SLC9A1,STAT3,TP53,ATM,CALR,NLRP3,HMGB1,FN1,ATG5,TLR4,JAK2,NFE2L2,IL6,TF,KDM8,CD36,HIF1A,STING1
GO Process	GO:1901214	Regulation of neuron death	7	324	1.02	0.00026	9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000437955	HMOX1,TP53,ATM,SLC7A11,TLR4,JAK2,HIF1A
GO Process	GO:0070102	interleukin-6-mediated signaling pathway	3	14	2.01	0.00029	9606.ENSP00000264657,9606.ENSP00000371067,9606.ENSP00000385675	STAT3,JAK2,IL6
GO Process	GO:1901699	Cellular response to nitrogen compound	9	637	0.83	0.00029	9606.ENSP00000221930,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000415743,9606.ENSP00000498596	TGFB1,SLC9A1,STAT3,TP53,TLR4,JAK2,NFE2L2,CD36,STING1
GO Process	GO:0070374	Positive regulation of ERK1 and ERK2 cascade	6	213	1.13	0.00030	9606.ENSP00000221930,9606.ENSP00000263317,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000398632,9606.ENSP00000415743	TGFB1,NOX4,HMGB1,TLR4,CD44,CD36
GO Process	GO:0010543	Regulation of platelet activation	4	53	1.56	0.00031	9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000378431,9606.ENSP00000385675	TLR4,JAK2,MMRN1,IL6
GO Process	GO:0043410	Positive regulation of MAPK cascade	8	481	0.9	0.00032	9606.ENSP00000221930,9606.ENSP00000263317,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743	TGFB1,NOX4,HMGB1,TLR4,JAK2,IL6,CD44,CD36
GO Process	GO:0051251	Positive regulation of lymphocyte activation	7	336	1.0	0.00032	9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675	TGFB1,TICAM1,NLRP3,HMGB1,TLR4,JAK2,IL6
GO Process	GO:0009617	Response to bacterium	9	663	0.81	0.00040	9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000415743	TGFB1,TICAM1,NLRP3,HMGB1,TLR4,JAK2,IL6,TF,CD36
GO Process	GO:0060255	Regulation of macromolecule metabolic process	27	6249	0.32	0.00040	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000226067,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000261024,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000398410,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000498596	HMOX1,TGFB1,HLF,TICAM1,HSPB1,SLC40A1,NOX4,SLC9A1,STAT3,TP53,ATM,CALR,NLRP3,HMGB1,FN1,ATG5,TLR4,JAK2,NFE2L2,IL6,TF,KDM8,CD44,CD36,HIF1A,BDKRB2,STING1
GO Process	GO:0071456	Cellular response to hypoxia	5	128	1.27	0.00041	9606.ENSP00000216117,9606.ENSP00000263980,9606.ENSP00000269305,9606.ENSP00000380252,9606.ENSP00000437955	HMOX1,SLC9A1,TP53,NFE2L2,HIF1A
GO Process	GO:0043408	Regulation of MAPK cascade	9	668	0.81	0.00042	9606.ENSP00000221930,9606.ENSP00000263317,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743	TGFB1,NOX4,HMGB1,FN1,TLR4,JAK2,IL6,CD44,CD36
GO Process	GO:0002285	Lymphocyte activation involved in immune response	5	130	1.27	0.00043	9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000385675	STAT3,TP53,HMGB1,TLR4,IL6
GO Process	GO:0050778	Positive regulation of immune response	8	502	0.88	0.00043	9606.ENSP00000221930,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000386559,9606.ENSP00000498596	TGFB1,NLRP3,HMGB1,TLR4,JAK2,IL6,CD8A,STING1
GO Process	GO:0009987	Cellular process	41	14826	0.12	0.00044	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000226067,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000248923,9606.ENSP00000261024,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000273550,9606.ENSP00000278616,9606.ENSP00000280612,9606.ENSP00000320866,9606.ENSP00000335062,9606.ENSP00000337383,9606.ENSP00000339787,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000350012,9606.ENSP00000351155,9606.ENSP00000357704,9606.ENSP00000358072,9606.ENSP00000363089,9606.ENSP00000367123,9606.ENSP00000371067,9606.ENSP00000378431,9606.ENSP00000378897,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000386559,9606.ENSP00000398410,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000450482,9606.ENSP00000453177,9606.ENSP00000478931,9606.ENSP00000498596	HMOX1,TGFB1,HLF,TICAM1,HSPB1,GGT1,SLC40A1,NOX4,SLC9A1,STAT3,TP53,FTH1,ATM,SLC7A11,CALR,PDCD1,NLRP3,ACSL4,HMGB1,FN1,ACSL3,ATL1,S100A4,ATG5,TLR4,SLC3A2,JAK2,MMRN1,ASAH2,NFE2L2,IL6,TF,CD8A,KDM8,CD44,CD36,HIF1A,BDKRB2,TRIM69,AIFM2,STING1
GO Process	GO:0050714	Positive regulation of protein secretion	5	131	1.26	0.00044	9606.ENSP00000221930,9606.ENSP00000339787,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000437955	TGFB1,ACSL4,TLR4,JAK2,HIF1A
GO Process	GO:0051249	Regulation of lymphocyte activation	8	508	0.88	0.00046	9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000278616,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675	TGFB1,TICAM1,ATM,NLRP3,HMGB1,TLR4,JAK2,IL6
GO Process	GO:0010038	Response to metal ion	7	362	0.97	0.00048	9606.ENSP00000216117,9606.ENSP00000261024,9606.ENSP00000320866,9606.ENSP00000358072,9606.ENSP00000380252,9606.ENSP00000385834,9606.ENSP00000437955	HMOX1,SLC40A1,CALR,ATG5,NFE2L2,TF,HIF1A
GO Process	GO:0045597	Positive regulation of cell differentiation	10	876	0.74	0.00049	9606.ENSP00000221930,9606.ENSP00000264657,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000415743,9606.ENSP00000437955	TGFB1,STAT3,CALR,NLRP3,HMGB1,FN1,JAK2,IL6,CD36,HIF1A
GO Process	GO:0001894	Tissue homeostasis	6	238	1.08	0.00051	9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000263317,9606.ENSP00000363089,9606.ENSP00000385675,9606.ENSP00000385834	TGFB1,HSPB1,NOX4,TLR4,IL6,TF
GO Process	GO:1902176	Negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	3	18	1.9	0.00052	9606.ENSP00000248553,9606.ENSP00000380252,9606.ENSP00000437955	HSPB1,NFE2L2,HIF1A
GO Process	GO:1902532	Negative regulation of intracellular signal transduction	8	519	0.87	0.00052	9606.ENSP00000248553,9606.ENSP00000278616,9606.ENSP00000337383,9606.ENSP00000363089,9606.ENSP00000380252,9606.ENSP00000398632,9606.ENSP00000437955,9606.ENSP00000450482	HSPB1,ATM,NLRP3,TLR4,NFE2L2,CD44,HIF1A,BDKRB2
GO Process	GO:0050727	Regulation of inflammatory response	7	371	0.96	0.00055	9606.ENSP00000248923,9606.ENSP00000278616,9606.ENSP00000337383,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000498596	GGT1,ATM,NLRP3,TLR4,JAK2,IL6,STING1
GO Process	GO:0050864	Regulation of B cell activation	5	140	1.23	0.00057	9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000278616,9606.ENSP00000363089,9606.ENSP00000385675	TGFB1,TICAM1,ATM,TLR4,IL6
GO Process	GO:0002252	Immune effector process	7	375	0.95	0.00058	9606.ENSP00000248244,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000385675,9606.ENSP00000386559	TICAM1,STAT3,TP53,HMGB1,TLR4,IL6,CD8A
GO Process	GO:0045595	Regulation of cell differentiation	13	1582	0.6	0.00058	9606.ENSP00000221930,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000320866,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000415743,9606.ENSP00000437955	TGFB1,STAT3,TP53,CALR,NLRP3,HMGB1,FN1,TLR4,JAK2,NFE2L2,IL6,CD36,HIF1A
GO Process	GO:0032757	Positive regulation of interleukin-8 production	4	65	1.47	0.00059	9606.ENSP00000264657,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000385675	STAT3,HMGB1,TLR4,IL6
GO Process	GO:0010035	Response to inorganic substance	8	532	0.86	0.00060	9606.ENSP00000216117,9606.ENSP00000261024,9606.ENSP00000320866,9606.ENSP00000358072,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000385834,9606.ENSP00000437955	HMOX1,SLC40A1,CALR,ATG5,NFE2L2,IL6,TF,HIF1A
GO Process	GO:0072359	Circulatory system development	10	901	0.73	0.00060	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000320866,9606.ENSP00000346839,9606.ENSP00000358072,9606.ENSP00000437955	HMOX1,TGFB1,NOX4,SLC9A1,TP53,ATM,CALR,FN1,ATG5,HIF1A
GO Process	GO:0008285	Negative regulation of cell population proliferation	9	713	0.78	0.00064	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000263317,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000273550,9606.ENSP00000278616,9606.ENSP00000371067,9606.ENSP00000385675	HMOX1,TGFB1,NOX4,STAT3,TP53,FTH1,ATM,JAK2,IL6
GO Process	GO:0050708	Regulation of protein secretion	6	250	1.06	0.00064	9606.ENSP00000221930,9606.ENSP00000339787,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000437955	TGFB1,ACSL4,TLR4,JAK2,IL6,HIF1A
GO Process	GO:0010508	Positive regulation of autophagy	5	146	1.22	0.00068	9606.ENSP00000216117,9606.ENSP00000248244,9606.ENSP00000345347,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TICAM1,HMGB1,HIF1A,STING1
GO Process	GO:0022603	Regulation of anatomical structure morphogenesis	10	920	0.72	0.00070	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000320866,9606.ENSP00000346839,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000437955	HMOX1,TGFB1,HSPB1,STAT3,CALR,FN1,NFE2L2,IL6,CD44,HIF1A
GO Process	GO:0043122	Regulation of I-kappaB kinase/NF-kappaB signaling	6	255	1.05	0.00070	9606.ENSP00000216117,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000357704,9606.ENSP00000363089,9606.ENSP00000415743	HMOX1,TICAM1,HSPB1,S100A4,TLR4,CD36
GO Process	GO:0050671	Positive regulation of lymphocyte proliferation	5	147	1.21	0.00070	9606.ENSP00000248244,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675	TICAM1,HMGB1,TLR4,JAK2,IL6
GO Process	GO:0050921	Positive regulation of chemotaxis	5	147	1.21	0.00070	9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000320866,9606.ENSP00000345347,9606.ENSP00000385675	TGFB1,HSPB1,CALR,HMGB1,IL6
GO Process	GO:0002274	Myeloid leukocyte activation	5	150	1.2	0.00075	9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067	TGFB1,TICAM1,HMGB1,TLR4,JAK2
GO Process	GO:0060627	Regulation of vesicle-mediated transport	8	551	0.84	0.00075	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000320866,9606.ENSP00000345347,9606.ENSP00000350012,9606.ENSP00000358072,9606.ENSP00000385834,9606.ENSP00000415743	HMOX1,TGFB1,CALR,HMGB1,ACSL3,ATG5,TF,CD36
GO Process	GO:0065009	Regulation of molecular function	18	3085	0.45	0.00076	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000248553,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TGFB1,TICAM1,HSPB1,NOX4,SLC9A1,STAT3,TP53,NLRP3,HMGB1,FN1,TLR4,JAK2,IL6,CD44,CD36,HIF1A,STING1
GO Process	GO:0051093	Negative regulation of developmental process	10	933	0.71	0.00077	9606.ENSP00000221930,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000320866,9606.ENSP00000335062,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000437955	TGFB1,STAT3,TP53,CALR,PDCD1,HMGB1,TLR4,NFE2L2,IL6,HIF1A
GO Process	GO:2000026	Regulation of multicellular organismal development	12	1389	0.62	0.00079	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000346839,9606.ENSP00000363089,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000437955	HMOX1,TGFB1,HSPB1,STAT3,TP53,NLRP3,HMGB1,FN1,TLR4,NFE2L2,IL6,HIF1A
GO Process	GO:0050765	Negative regulation of phagocytosis	3	22	1.82	0.00082	9606.ENSP00000221930,9606.ENSP00000345347,9606.ENSP00000358072	TGFB1,HMGB1,ATG5
GO Process	GO:0001934	Positive regulation of protein phosphorylation	9	747	0.76	0.00087	9606.ENSP00000221930,9606.ENSP00000263317,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743	TGFB1,NOX4,TP53,ATM,TLR4,JAK2,IL6,CD44,CD36
GO Process	GO:0010667	Negative regulation of cardiac muscle cell apoptotic process	3	23	1.8	0.00092	9606.ENSP00000358072,9606.ENSP00000371067,9606.ENSP00000380252	ATG5,JAK2,NFE2L2
GO Process	GO:0034103	Regulation of tissue remodeling	4	75	1.41	0.00094	9606.ENSP00000221930,9606.ENSP00000269305,9606.ENSP00000385675,9606.ENSP00000385834	TGFB1,TP53,IL6,TF
GO Process	GO:0016241	Regulation of macroautophagy	5	159	1.18	0.00095	9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000358072,9606.ENSP00000437955,9606.ENSP00000498596	HMOX1,TP53,ATG5,HIF1A,STING1
GO Process	GO:0002286	T cell activation involved in immune response	4	76	1.4	0.00098	9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000345347,9606.ENSP00000385675	STAT3,TP53,HMGB1,IL6
GO Process	GO:0043254	Regulation of protein-containing complex assembly	7	413	0.91	0.00098	9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000415743	TGFB1,TICAM1,TP53,ATM,HMGB1,TLR4,CD36
GO Process	GO:1903039	Positive regulation of leukocyte cell-cell adhesion	6	274	1.02	0.00099	9606.ENSP00000221930,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398632	TGFB1,NLRP3,HMGB1,JAK2,IL6,CD44
GO Process	GO:0002360	T cell lineage commitment	3	24	1.78	0.0010	9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000385675	STAT3,TP53,IL6
GO Process	GO:0034395	Regulation of transcription from RNA polymerase II promoter in response to iron	2	2	2.68	0.0011	9606.ENSP00000216117,9606.ENSP00000261024	HMOX1,SLC40A1
GO Process	GO:0045766	Positive regulation of angiogenesis	5	166	1.16	0.0011	9606.ENSP00000216117,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000380252,9606.ENSP00000437955	HMOX1,HSPB1,STAT3,NFE2L2,HIF1A
GO Process	GO:0060907	Positive regulation of macrophage cytokine production	3	25	1.76	0.0011	9606.ENSP00000248244,9606.ENSP00000363089,9606.ENSP00000415743	TICAM1,TLR4,CD36
GO Process	GO:0097193	Intrinsic apoptotic signaling pathway	5	166	1.16	0.0011	9606.ENSP00000216117,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000371067,9606.ENSP00000450482	HMOX1,TP53,ATM,JAK2,BDKRB2
GO Process	GO:1903786	Regulation of glutathione biosynthetic process	2	2	2.68	0.0011	9606.ENSP00000280612,9606.ENSP00000380252	SLC7A11,NFE2L2
GO Process	GO:0002683	Negative regulation of immune system process	7	433	0.89	0.0013	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000278616,9606.ENSP00000335062,9606.ENSP00000345347,9606.ENSP00000358072,9606.ENSP00000363089	HMOX1,TGFB1,ATM,PDCD1,HMGB1,ATG5,TLR4
GO Process	GO:0030336	Negative regulation of cell migration	6	288	1.0	0.0013	9606.ENSP00000216117,9606.ENSP00000221930,9606.ENSP00000264657,9606.ENSP00000320866,9606.ENSP00000345347,9606.ENSP00000380252	HMOX1,TGFB1,STAT3,CALR,HMGB1,NFE2L2
GO Process	GO:0045765	Regulation of angiogenesis	6	288	1.0	0.0013	9606.ENSP00000216117,9606.ENSP00000248553,9606.ENSP00000264657,9606.ENSP00000380252,9606.ENSP00000385675,9606.ENSP00000437955	HMOX1,HSPB1,STAT3,NFE2L2,IL6,HIF1A
GO Process	GO:0031349	Positive regulation of defense response	6	296	0.99	0.0014	9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000498596	NLRP3,HMGB1,TLR4,JAK2,IL6,STING1
GO Process	GO:0055007	Cardiac muscle cell differentiation	4	84	1.36	0.0014	9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000320866,9606.ENSP00000358072	NOX4,SLC9A1,CALR,ATG5
GO Process	GO:0002822	Regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	5	179	1.13	0.0015	9606.ENSP00000221930,9606.ENSP00000337383,9606.ENSP00000345347,9606.ENSP00000371067,9606.ENSP00000385675	TGFB1,NLRP3,HMGB1,JAK2,IL6
GO Process	GO:0031401	Positive regulation of protein modification process	10	1018	0.67	0.0015	9606.ENSP00000221930,9606.ENSP00000248244,9606.ENSP00000263317,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000363089,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398632,9606.ENSP00000415743	TGFB1,TICAM1,NOX4,TP53,ATM,TLR4,JAK2,IL6,CD44,CD36
GO Process	GO:0032740	Positive regulation of interleukin-17 production	3	28	1.71	0.0015	9606.ENSP00000221930,9606.ENSP00000371067,9606.ENSP00000385675	TGFB1,JAK2,IL6
GO Process	GO:0048738	Cardiac muscle tissue development	5	179	1.13	0.0015	9606.ENSP00000221930,9606.ENSP00000263317,9606.ENSP00000263980,9606.ENSP00000320866,9606.ENSP00000358072	TGFB1,NOX4,SLC9A1,CALR,ATG5
